,Title,Poem,Poet,Tags,gender
41,"
                    More Dangerous Air
                ","
Newsmen call it the Cuban Missile Crisis.
Teachers say it's the end of the world.
At school, they instruct us to look up
and watch the Cuban-cursed sky.
Search for a streak of light.
Listen for a piercing shriek,
the whistle that will warn us
as poisonous A-bombs
zoom close.
Hide under a desk.
Pretend that furniture is enough
to protect us against perilous flames.
Radiation. Contamination. Toxic breath.
Each air-raid drill is sheer terror,
but some of the city kids giggle.
They don't believe that death
is real.
They've never touched a bullet,
or seen a vulture, or made music
by shaking
the jawbone
of a mule.
When I hide under my frail school desk,
my heart grows as rough and brittle
as the slab of wood
that fails to protect me
from reality's
gloom.
",Margarita Engle,"Coming of Age,Social Commentaries,Cities & Urban Life,History & Politics,Race & Ethnicity,War & Conflict",F
191,"
                    Haiti
                ","
For the earth has spoken,
to you, her magma Creole.
Full-throated syllables, up-
rising from deep down,
an honest elocution —
rudimentary sound: guttural
nouns, forthright, strong,
the rumbled conviction of verbs
unfettered by reticence
as the first poetry of creation.
A secret has passed between you
so wonderfully terrible,
it laid your cities prostrate,
raptured your citizenry.
Now, we look to your remnant
courtesy cable TV
and garble theories thinking
ourselves saved.
Only the wise among us pin
our ears to the ground,
listening in hope of catching
even a half syllable
of the language forming
like a new world on your tongue.
",Jennifer Rahim,"Arts & Sciences,Language & Linguistics,Social Commentaries,Cities & Urban Life,History & Politics,Race & Ethnicity",F
403,"
from ""Company""
                ","
At the top of a hill each morning,
I wait for the bus by the donut store.
Its pink sign looks hot,
curls, like a rope, a stem to a brain.
You turn toward a jade
at the height of your neighborhood,
stop at a light in its gut.
The sun starts to seep up,
reaching all grasses and grooves of the city.
A white bus with black windows passes.
A few minutes later, the city bus arrives like a room.
It crawls warm and dull to the west edge,
breathing its heat, a few baby hands
warming wide glass.
The billboard at my stop displays a large number to call.
A man walks his sniffing dog below it,
sharp legs brushing wild onion.
At the base of the hill,
I enter my code,
push the gray gate open,
allow the worn loop of my bag
down my arm, walk to my station.
I drop the metal end of a hose
into a bucket, turn the tough faucet.
Traveling after the sound,
the cold rushes out
full force from the rubber,
breaking into itself, interrupting and filling
the round plastic space.
Hungry, I pick up the water.
",Emily Hunt,"Activities,Jobs & Working,Travels & Journeys,Social Commentaries,Cities & Urban Life",F
598,"
                    Poem
                ","



For js



You were laughing no you weren't she was she was she wasn't
These aren't the right words
The people are waiting on the platform and the decisions are being themselves as usual 
You could take this silver cord and wrap it around all of your ideas 
You could you could
What is the way to make meaning
You're less busy than the machine has time for 
I poured the world in for you 
All the sun on that block
Or at least I wanted to:
Everyone is leaving but this would be an arrival your torso is a drum people come through and then they die you see the obituary in passing as the man next to you folds the paper and all these people at all these parties that cannot be the answer but what
Back above ground and it's the same sun different block same world different world 
Your friend is lying down with the thing he is carrying
Everybody is somebody's family you think you forget the sun keeps going still you keep going the world rearranges itself just so
False alarm you say and then you don't know what to say you wrap yourself in the future you wrap yourself in the past the woman gets in the taxi just in time
Everybody is it's not an easy thing to understand
False alarm you say and then you don't know what to say the sun keeps  going.
",Claudia La Rocco,"Living,Sorrow & Grieving,Activities,Travels & Journeys,Arts & Sciences,Language & Linguistics,Social Commentaries,Cities & Urban Life",F
617,"
                    Harlem Riot, 1943
                ","
Not by hammering the furious word,
Nor bread stamped in the streets,
Nor milk emptied in gutter,
Shall we gain the gates of the city.
 
But I am a prophet without eyes to see;
I do not know how we shall gain the gates
                  of the city.August, 1943
 
",Pauli Murray,"Social Commentaries,Cities & Urban Life,History & Politics,Race & Ethnicity,War & Conflict",F
680,"
                    Sketch of a Man on a Platform
                ","
Man of absolute physical equilibrium
You stand so straight on your legs
Every plank or clod you plant your feet on
Becomes roots for those limbs
 
Among the men you accrete to yourself
You are more heavy
And more light
Force being most equitably disposed
Is easiest to lift from the ground
So at the same time
Your movements
Unassailable
Savor of the airy-fairy of the ballet
The essence of a Mademoiselle Genée
Winks in the to-and-fro of your cuff-links
 
Your projectile nose
Has meddled in the more serious business
Of the battle-field
With the same incautious aloofness
Of intense occupation
That it snuffles the trail of the female
And the comfortable
Passing odors of love
 
Your genius
So much less in your brain
 
Than in your body
Reinforcing the hitherto negligible
 
Qualities
Of life
Deals so exclusively with
The vital
That it is equally happy expressing itself
Through the activity of pushing
THINGS
In the opposite direction
To that which they are lethargically willing to go
As in the amative language
Of the eyes
 
Fundamentally unreliable
You leave others their initial strength
Concentrating
On stretching the theoretic elastic of your conceptions
Till the extent is adequate
To the hooking on
Of any — or all
Forms of creative idiosyncrasy
While the occasional snap
Of actual production
Stings the face of the public.
 
",Mina Loy,"Relationships,Men & Women,Social Commentaries,Cities & Urban Life,Gender & Sexuality",F
816,"
                    Resurrection
                ","
In the autumn I moved to New York,
I recognized her face all over the subway
stations—pearls around her throat, she poses
for her immigration papers. In 1924, the only
Americans required to carry identity cards
were ethnically Chinese—the first photo IDs,
red targets on the head of every man, woman,
child, infant, movie star. Like pallbearers,
they lined up to get their pictures taken: full-face
view, direct camera gaze, no smiles, ears showing,
in silver gelatin. A rogue’s gallery of Chinese
exclusion. The subway poster doesn’t name
her—though it does mention her ethnicity,
and the name of the New-York Historical
Society exhibition: Exclusion/Inclusion.
Soon, when I felt alone in this city, her face
would peer at me from behind seats, turnstiles,
heads, and headphones, and I swear she wore
a smile only I could see. Sometimes my face
aligned with hers, and we would rush past
the bewildered lives before us—hers, gone
the year my mother was born, and mine,
a belt of ghosts trailing after my scent.
In the same aboveground train, in the same
city where slain umbrellas travel across
the Hudson River, we live and live.
I’ve left my landline so ghosts can’t dial me
at midnight with the hunger of hunters
anymore. I’m so hungry I gnaw at light.
It tunnels from the shadows, an exhausting
hope. I know this hunger tormented her too.
It haunted her through her years in L.A., Paris,
and New York, the parties she went to, people
she met—Paul Robeson, Zora Neale Hurston,
Langston Hughes, Gertrude Stein. It haunts
her expression still, on the 6 train, Grand
Central station, an echo chamber behind
her eyes. But dear universe: if I can recognize
her face under this tunnel of endless shadows
against the luminance of all that is extinct
and oncoming, then I am not a stranger here.
 
",Sally Wen Mao,"Activities,Travels & Journeys,Social Commentaries,Cities & Urban Life,History & Politics,Race & Ethnicity",F
1035,"
                    [the siren's story]
                ","
she wasn’t born in this city. she found its basalt greenstone chunks, seafloor forced skyward. it found her hands through mist and odors whirring pigeons’ clubfeet fluttering, toothless men’s paper sacks spilling elixirs, roots, shark fin tonics. heat swelling sewer steam rising, side street chess match maneuvers mystifying. it sought her whirlwind hair, grown seavine thick. songbird, adrift, nestling neon, she crafted snares for moths, butterflies, treasure hunting children tracing ideographs: sky, sun. patina spires, smirking dragon boys humming silk lanterns, flight of phoenixes through fish vendors’ stalls, corrugated plastic blackbird perches, jade-ringed gardens, needle-tipped shanties. it bulleted trees, lighting hash pipes; herbalists’ storefront canopies concealing leathered men, versed in languages of whiskered ghosts. it invented her dialect carving tongue: salt fables, yellow caution tape palaces. she lost herself in this city. it lured her, drank her air; honey voice’s precision, hybrid beyond memory. songbird, adrift, this city’s misplaced siren. migration patterns subterranean streams swallowed whole.
",Barbara Jane Reyes,"Living,Coming of Age,Social Commentaries,Cities & Urban Life",F
1108,"
                    Smooth Horizon of the Verb Love
                ","
      1
 
an urban image from the eighties
when we hung out at Chez Madam Arthur
and at the back of the room
women wrapped their arms around
nights of ink and dawn
 
 
      2
 
calendar of murmurs
vague caresses about the planet and its water
we could have confused words
but there were doors open
confetti in the midst of darkness
gentle ways
to swoon in a corner with she who
put her tongue in my mouth
 
 
      3
 
focus on yes, on the woman’s
eyelids
caress not silence not word
focus beyond. Hold me back
",Nicole Brossard,"Living,Coming of Age,The Body,Love,Desire,Activities,Eating & Drinking,Relationships,Friends & Enemies,Arts & Sciences,Language & Linguistics,Social Commentaries,Cities & Urban Life",F
1117,"
                    Snow
                ","
White people leave the express
at 96th Street, collectively,
like pigeons from a live wire
or hope from the hearts of Harlem.
And I’m one of them, although
my lover sleeps two stops north between
Malcolm X and Adam Clayton Powell
Boulevards, wishing my ass
were cupped inside her knees and belly,
wishing this in a dream thick
with inequalities.
 
I live on Riverside Drive. My face
helped get me here. I was
ruddy with anticipation the day
I interviewed for the rooms
near the park with its
snow-covered maples. I was full
of undisguised hope as I
strolled along the river, believing
I belonged there, that my people
inherited this wonderland
unequivocally, as if they deserved it.
 
My lover buys twinkies from the Arabs,
bootleg tapes on ‘25th,
and carries a blade in her back
pocket although her hands
are the gentlest I’ve known.
She ignores the piss smells
on the corner, the sirens
at 4 A.M., the men whose brains
have dissolved in rum. And tries
to trust a white woman who
sleeps near the trees of Riverside.
 
When we go out together,
we avoid expensive
cafés on Columbus Avenue, jaunts
to the Upper East Side. Harlem
eyes us suspiciously or with
contempt beneath half-closed lids.
We have friends there,
hidden in the ruins like gold, who
accept us. When it snows,
we walk boldly anywhere, as if the snow
were a protection, or a death.
",Maureen Seaton,"Love,Realistic & Complicated,Relationships,LGBTQ,Social Commentaries,Cities & Urban Life,Gender & Sexuality,Race & Ethnicity",F
