,Title,Poem,Poet,Tags,gender
114,"
                    Dust to Dust
                ","
Nevermind that keeping ashes
     on the mantel feels ghoulish,
and comically impractical:
 
not just another thing,
     a miniature memento urn, to dust,
but dust to dust—
 
I dread the conversational
     Hara-kiri, not, that’s what’s leftof my brother, but, he died of suicide:
 
the chasm of silence following the leap—
     so the cremains stay
in the office closet till they migrate
 
through no will of their own
     to a moving box
I haven’t unpacked and likely won’t.
",April Ossmann,"Death,Sorrow & Grieving",F
130,"
                    All Kinds of Fires Inside Our Heads
                ","
The number of bodies i have
is equal to the number of
gurney transfers that are
televised.
 
If we’re all “just human”  
then who is responsible?
 
A fire station drying out
from addiction. outside
the drizzling of firepower,
lowballing suns
 
it’s like a sauna in here.
the strain of a charred
bladder. bottled water
bad wiring,
 
that spark is no good
come sit with me for a
minute. my feet full of
diluted axe fluid
 
thought I heard you say
everything is medicine
but that’s just hearin
what you wanna hear
 
",Nikki Wallschlaeger,"Living,Death,Health & Illness,Life Choices,Social Commentaries,Race & Ethnicity",F
202,"
                    [I would drive to your grave]
                ","
I would drive to your grave but your grave is the crash
the froth foam pebbles small rocks the sand smoothed
soothed each rising each leaving tide you lie in the ocean
the water in the waves your home the stern the back
the wake of a boat those curled white lines of leaving
I would visit your grave but your grave is a single blue
afternoon of passing isles the green and granite shores
I would come to your grave but your grave is the fire
oh mother it is cold tonight and I have no heart
for this burning for the fine sift of ash which is all
that comes back all that comes after I would visit
your house but your things are missing are missing
your touch as your eyes failed I brought you lights
and I would see again that brightness I would drive
to your grave but I am your grave your marker
oh mother I am your stone
 
",Leslie Harrison,"Living,Death,Sorrow & Grieving,Relationships,Family & Ancestors",F
205,"
                    [That]
                ","
That this is the morning in which nothing much
that the sky is still there and the water dresses
accordingly that only at night does the water rest
vanish from sight that the stars are too small too far
to register there that all our names too are writ
invisibly on water that abiding requires more hope
than I can possibly acquire that hope is not a thing
with feathers that hope is a thing with a fist a thin
crust sketched over oceans that hope is what despair
uses for bait come in hope says the water's fine
that hope is the blood with which you write letters
that start dear sea dear ocean stop asking so fucking
much that hope is a telegram delivered by men
in pairs men in uniform a telegram that says missing
stop that says once again presumed lost stop
 
",Leslie Harrison,"Living,Death,Sorrow & Grieving",F
234,"
                    Elegy
                ","
I saw you fall to the ground.
I saw the oaks fall.  The clouds collapsed.
I saw a wildness twist through your limbs
and fly off.  The river fell, the grasses fell. 
The backs of six drowned cattle
rose to the surface ice—nothing moved.
But a wind touched my ankles when the snow began.
You left that night and we stayed,
our arms braced with weight.  What power
there was was over.  But I switched on the light
by the porch to see if anything was falling—
and it fell, a few glints in the air,
catching sun although there was no sun,
and the long descent over hours, all night,
seemed like years, and we buried our faces
in what came to rest on the ground
or moved our feet over it, effortless,
as nothing was in our lives, or ever will be.
 
",Joanna Klink,"Living,Death,Health & Illness,Sorrow & Grieving,Relationships,Friends & Enemies,Nature,Weather",F
236,"
                    The Demon
                ","
This is a demon that can take a grown brain and squash it to sponge. There is no loving the state
of a decrepit mind that encourages a decrepit body. Is he sleeping or just not there? States of
awareness flicker inside a gauzy lens. We’ve seen this before—in a film, the man disappearing
as he stands right there, his body stolid.
 
Let’s say this man worked as an Assistant Principal and admired his own IQ.
Let’s say this man had a brutish body but was not a brute. All of this becomes portraiture but
there can be fractures of truth.  Looking at him you think: Am I in this film or is this a vapory
memory?",Jennifer Firestone,"Living,Death,Health & Illness,The Mind,Relationships,Family & Ancestors,Religion,The Spiritual,Arts & Sciences,Language & Linguistics",F
237,"
                    No People in It
                ","
                        for JA
 
I flutter in order
to enter
the phrase’s silver.
 Jackdaws have launched nearby
this time, silk green and ripped,
the movement a kind of chafing thinking.
 
Oh he’s marking
terrain right there—
right there with his
 
unmade song. The shadow kids
whip fronds, froth air up
into heat, pure and simple
 
“violence of the eye.” Wild iris
ink, wet in the margin’s stage.
Well, hadn’t this testament begun
 
to carry its chime in stripes?
That’s when I knew he was going away
from me, towards the sound.
 
Like the ring on the table
it can’t be decentered.
Rim around the recent.
 
Ashes, ashes,
A bright tangled seeming.
 
",Emily Skillings,"Living,Death,Sorrow & Grieving,Arts & Sciences,Poetry & Poets",F
273,"
                    Cardinal Sin
                ","
I don't love my son
the way I thought
my mother should love me
so I handed him a shoe box
to put the dead bird in
and shut the door. 
It was a mistake, 
not to be sure he buried it, 
not to grab the children
gathered at my back door
by their shoulders
to push them into a half-circle
and a prayer. 
Should have made them
take turns digging the hole,
each one of their pudgy hands
finger stiff red's box
to lower it to the ground. 
It wasn't my place
to teach other women's children
about death, so my own son
snuck the shoe box
into his backpack,
dead-eyed bird rolling
like a plastic prize ball,
told the principal
this cold puff
of field bird
had been his pet. 
See him
clutching a coffin
the size of his feet,
eyes wide over a pout,
giving a man a reason
good enough to hold him. 
                                                        after Louise Glück
",Jonterri Gadson,"Living,Death,Parenthood,Nature,Animals",F
309,"
                    Parachute
                ","
Because a lie is not a lie if the teller
believes it, the way beautiful things
 
reassure us of the world’s wholeness,
of our wholeness, is not quite a lie.
 
Beautiful things believe their own
narrative, the narrative that makes them
 
beautiful. I almost believed it
until the new mother strapped
 
her infant to her chest, opened
the eighth-floor window,
 
and jumped. My daughter tells me,
after her preschool field trip
 
to the Firefighter Museum,
about the elephant mask, its hose
 
like a trunk, and the video of a man
on fire being smothered in blankets.
 
She asks me if she knows anyone
who got dead in a fire, anyone who
 got fired. When will I die? she asks.
When I was a child, I churched
 
my hands, I steepled my hands,
and all the people were inside,
 
each finger a man, a woman,
a child. When I die, will you
 still love me? she asks. The mother
cracked on the pavement—
 
how did the baby live? Look,
he smiles and totters around
 
the apartment eight stories up.
Beautiful things reassure us
 
of the world’s wholeness:
each child sliding down the pole
 
into the fire captain’s arms.
But what’s whole doesn’t sell
 
itself as such: buy this whole apple,
this whole car. Live this whole life.
 
A lie is not a lie if the teller
believes it? Next time the man
 
in the video will not ignite.
The baby will open like a parachute.
 
",Maggie Smith,"Living,Death,Parenthood,Relationships,Family & Ancestors",F
330,"
                    Homo Antarcticus
                ","



""The wild will keep calling and calling forever in your ears. You
cannot escape the 'little voices.'""
—Frank Wild



1.
Here I rest, in South Georgia.
A few feet of evolution away
lie the graves of whale hunters, pointing north.
A white fence shields them from elephant seals
and their apocalyptic screams that each day warn
of the end of the world, or maybe the beginning. . .
 
I survived five expeditions to the Pole.
The one before last, “Imperial Trans-Antarctica,” nearly killed me.
For two years I put up with the ice—no man can reap or sow
       these fields.
And, unlike farmers, I didn’t even need to ask God for rain,
because ice is sated
and more desolate than the Sahara.
 
I survived distance. Wrote one message after another
beginning with a capital letter and a ""PS."" at the end.
My own personal post office under my pillow
closed for two years already, on holiday.
 
I survived six month-long polar days and nights;
to this day, I don't know which one was worse.
 
My epitaph is simple. Carved in granite:
                         FRANK WILD
                         18 April 1873
                         19 August 1939
                         “Shackleton’s
                          Right Hand Man”
From those cast away here
by a defect in the engine of the ship
or nostalgia of the womb.
 
2.
Ah yes. . . in the beginning was the ship. The ship stuck in ice.
      Endurance. 
Ships are women. They prefer soft seas.
In the best-case scenario, she’s called La Santa Maria 
and she throws you, like Columbus, on some foreign shore.
 
But if you get too close to her. . .
 
The very day after
we washed her deck with warm water and soap,
warmed her arteries with gin,
stroked her lower back with our surrogate songs,
shaved our beards and exposed the illiterate lines on our faces,
she took off.
 
And from the shore,
we saw how she broke her ribs, sinking,
aft first, so fast we didn’t even have time to pray,
leaving behind her ash-tree fragrance
and faux pearls on the water.
 
“Such a woman!” someone laughed bitterly,
“She knows when to leave so as not to be forgotten.”
 
3.
A woman, naturally, has no business there.
Antarctica is a masculine continent—
male penguins keep the eggs warm,
the moon stands up on the street to urinate
after being kicked out of the tavern,
the cold like a cut-throat razor, dulled for three thousand years,
and the sled dogs, the Huskies,
we kill with a single bullet
so they won’t starve to death. In this way
we instill a little character into the new land
before the arrival of Conquistadors, thieves,
assassins, missionaries, prostitutes,
the first invading army of every continent.
 
Antarctica is a man’s continent,
because only a man chooses to break into the darkness of the mind
by conquering the body,
as Amundsen and Scott did, their glory
reaching to the apex of ecstasy.
Zero degree of geographical latitude,
utter collapse.
 
4.
Hunger is overestimated. The stomach functions much like the
     brain:
when it has nothing to think about, it feeds off memories.
It can last three days just thinking of a single biscuit.
But those who have a better memory, meaning a much stronger
     acidity,
can go on for months
remembering a slice of prosciutto, two fried eggs,
sweetly folding their eyelids like napkins after a meal.
 
Then hallucinations begin. Banquets. Easter supper.
Feet move impatiently under the table;
the scent of rosemary wafts from a platter
and two clean serving hands with burns here and there.
That's when you feel grief-stricken
and you attack the seals and penguins with your
alpine knives and shoes like a madman
in an empty amphitheater.
Or is this, too, a hallucination,
and in this case not ours
but Antarctica's?
 
And when clarity finally returns,
both stomach and brain
notice only their own deep wrinkles.
 
 
5.
Blubber, blubber, seal's blubber.
Blubber that keeps your spirits alive, rendering it for fuel, for light,
blubber to mask the body's foul odor,
—a mixture of doubt, hope, and ammonia.
And if you have nothing better to do,
think of a cow's thigh hanging at the butcher's,
its delicate streak of fat
like a silk ribbon.
 
I survived even this sarcasm.
 
And every night, before bed,
we read recipes to each other
one of a few things we secretly rescued
from the ship before she sank,
as if these items were her lingerie.
 
What a show it was!
What pathos in pronouncing prosciutto, sugar, omelet!
What sensuality in milk, parsley, cinnamon!
We made these words up ourselves.
Nothing exists until its moment of absence.
 
But first, in order to warm up our mouths
like actors before going on stage,
we'd repeat mechanically, palates dry,
""Bless us, O Lord,
and this food we've received through your mercy.”
 
 
6.
It was the Romans who spoiled the word
studying rhetoric
before anatomy and mathematics:Vir bonus dicendi peritus
“The good man skilled in speaking"" (Marcus Porcius Cato)
 
But in Antarctica, words are measured differently: by calories!
With a simple greeting you lose five calories,
just as many to keep a fire burning for a full minute.
And a Ciceronian argument can consume a whole day’s
      nutrition;
think carefully before you open your mouth.
 
The word is overestimated.
 
Sometimes it’s enough to avert your eyes from your shoes
to imply “gangrene”;
and a vague exchange of glances between men
is enough to understand that the ice is cracking beneath your feet
and death is closer than your fingers.
 
7.
Stretched smooth from end to end—such is Antarctica. In fact,
even a baby’s skin looks withered by comparison.  
No emotions. No regrets. No warnings.
Either fight or die.
 
My father was like this more or less. A teacher at a village school.
In classrooms that smelled of sheep-wool pullovers
drying on the body. And eyes that moved freely
in their hollows, like toes
inside an older sibling’s shoes.
 
Unlike the Romans,
my father preached about justice and honor
his hands folded behind his back.
His shoulders seemed twice as wide
as his worn jacket.
 
I inherited his sharp, gray gaze
and his soft voice.
Eyes that say “Go” and a voice that says “Stay.”
You never know which one to trust.
 
 
8.
And mother? Oh, she was simply Captain Cook’s niece,
—the great James Cook—
from morning to night
when she washed, swept, dug potatoes from the garden,
fixed her husband’s tie on Sundays
even from her bed, while in labor.
She never spoke of this. As it wasn’t necessary.
People speak of what they have, not what they are.
 
She was a tailor. Measured everyone's perimeter with a glance;
erred only on the width of one’s neck, an unknown strength.
Her large scissors followed
the white chalk line on the cloth so precisely. ""Snip!""
She said little. Her silence followed the white outlines
of another tailor,
over a fabric much older than she was.
 
But now that I think of it,
how did the poor woman respond to her friends asking,
""Where is your son?""
""He's exploring the world.""
""And what does he bring back from there?""
""Himself, alive, I hope.""
""What's the point of returning empty-handed after two years?”
 
Was she at least a little proud of me? Of her Frank?
Certainly not. She was Captain Cook's niece.
The past always conquers.
 
 
9.
I was the first of thirteen children.
And as a rule, each of them
eyed one of my belongings.
One eyed my bed near the window
that overlooked the water where frogs lived
and asparagus grew on the shore.
Another eyed my green jacket bought with borrowed money,
poker cards, a fishing net,
my wicker chair with the damaged back.
Another whistled my favorite tune:
""What Will We Do with a Drunken Sailor?”
without reaching the refrain.
And yet another envied the basement
—that place I occupied in my father’s heart—
 with its elm door hanging by a single hinge.
 
But the time hasn't come to leave home just yet,
until your own brother begins to use your shaving kit
and dreams of the same girl.
 
 
10.
What shaving kit? Antarctica makes you grow a double-beard
as if you were a hundred-year-old grave.
And, while you remember wasting time waiting in line at
      barber's
another beard grows, a red one.
 
Here, each body part works for itself:
the stomach, hands, intestines, eyes. . .
The unity of the body is overestimated, too.
 
Only skin pulls everything together like a sled.
The skin? Which skin? Man loses his first skin
to his first love, like the snake early in spring
on a thorn-apple bush that blocks the way.
From that point on he stops counting the rest.
 
11. 
I don’t know why it was named “Elephant Island,”
when it answered the ocean with the cries of a she-wolf.
We could only make out her sly teats under her belly. After
      some time,
if she didn’t kill us first, we’d begin to cry like wolves ourselves.
 
Twenty-two people. Packed next to one another under two
      inverted boats
like notes in Bach’s “Come, Sweet Death, Come Blessed Rest,”
with more pauses, a dramatic suffocation between breaths.
A dry, calcic cough was a sign of life. Or the delirious mutterings
        of someone
dreaming aloud of “ice” in the middle of ice,
after they had cut off his toes.
 
But the hardest moment arrives in the morning,
when, with shut eyes and plugged nostrils,
as if drinking your own urine
you recycle the same lie for four months straight:
“Men, pack up your stuff! The boss might arrive today!”
 
And they obeyed me. Packed carefully each day from the start,
leaving nothing shap in the folds of their bags,
nothing that would spoil the line between fact and fiction.
 
It was a time when
routine grew more powerful than hope.
 
 
12.
Fish in the ocean toyed with our citizenship.
On the seventh mile, we left our medals behind, class ranks,
along with the dogs, potatoes, and a camera.
We made fire out of money
and kept only a single metal coin each
so that archaeologists might trace us more easily centuries later.
On Elephant Island, we had to bid farewell even to tobacco,
tobacco which reminded us of village alleyways
and walks home after midnight.
 
Time glided above us without touching a single strand of our
     hair—
nonexistent, as if gliding above ancient cities,
exposing the solemnity of our white bones
and crickets on absent walls.
 
That’s when the ten commandments deserted us:
“Do not steal,” “Do not lie,” “Do not covet,”
“Honor your parents”. . .
save one of them perhaps,
the one about the holiness of Sunday.
 
We already had nothing. We belonged to no one.
An entirely new species: HOMO ANTARCTICUS.
A scientific proof that “forgotten” and “free”
mean the same thing.
 
 
13.
Two years after returning from the world of the dead,
you find your house taken over by another tenant
and the rent tripled,
the commemorative plaque nailed to the gate:
“Here lived F.W.”
And your lover, or better, ex-lover,
for the same reason,
in the arms of another
three times more handsome.
 
You see your own image sold at an auction.
Artifact. Original. “Brrramp. Sold!” The price so high
you can’t afford it. But even if you could,
you're an illegal customer,
holding a death certificate in your hand.
 
And you find your parents turned into winter trees
their eyes fixed on a large cloud of plaster.
They don’t expect visitors. Best not disturb them.
Let their leaves fall quietly where they will
let the crow's nest remain in the armpit of a branch,
where it has always been.
 
Perhaps you should take a shortcut, start over.
Or you know what? There’s a war going on nearby, they say.
Go there instead!
But this time die better.
 
 
14.
War’s never satisfied with flesh;
Fresh, branded, smoked,
with or without blood
blue blood, dark, thick, whatever kind.
And frozen blood like yours
could store at minus 40 degrees Celsius,
viruses from 1914 unscathed,
and the map of the old Empire         
and Scott's hurt ego 
and old coins minted with the head of Edward VII,
and Browning’s poetry and the epic of the unknown,
like an envelope inside an envelope,
all making you the ideal candidate.
 
Back on the ship, ammunition everywhere,
sailing through the cold Northern seas
where you had to learn a new language.
A new language is like a fish:
first, you need to remove its spine
in order to chew it.
 
Unlike in Antarctica,
one’s purpose in war is clear: kill or be killed,
though sometimes it’s the same difference.
 
Baltic nights gave you what Antarctica refused you:
the other half of the celestial sphere.
You meet Vera, the widow of a tea plantation owner,
a character out of a Baroque novel, her pupils blurred with dusk,
and the ritual of mourning fitted perfectly to her body
like a final journey. 
 
 
15.
A man charmed by a glacier,
who knows too well the flawless forms of her body,
feels her eavesdropping gaze even when asleep,
her clean and distant breath
and her heart, a piece of ice, that melts inside a cigarette case
heated for drinking water,
finds it difficult to marry a real woman,
to marry Vera.
And Africa.
 
I bought land. Barren. Hundreds of acres. In Zululand.
I didn’t fare well with tobacco. Planted cotton instead,
chose bodily peace rather than meditation.
My nearest neighbor lived 45 miles away. White, of course.
And my fate, never blended with the blacks,
those beautiful statues, wrapped in straw.
I heard them nod off during lunch break,
like the oars of a boat,
in complete sync.
They knew where they were heading.
But I didn’t.
 
And I was right. It didn’t take long
before drought, floods, worms
destroyed everything. The bank left me only my own beard
and the malarial shadow of a baobab. Apart from other things,
Vera filled out divorce papers. The woman in the yellow dress,
yellow as quinine, yellow as the sigh of a hinge at dusk,
the woman married to the hero
who now can’t even manage a small plot of land.
 
 
16.
The man in front of me
—my master I call ""Boss""—
is newly shaved, and dressed in a striped tie and jacket
as if the Prince of Wales or Fred Astaire,
a style that arrives here two years late.
He asks me to serve whiskey to clients at the bar
and chat them up
using their jargon, gestures,
sentences uninterrupted by mosquitoes,
and the abstract rhetoric of the Depression years.
And, to be frank,
he pays me for the latter.
 
But what do I know,
what does a survivor know about the art of living,
for which new instincts are needed, new muscles
and other kinds of heart valves?
 
Furthermore,
how can I obey such a spick-and-span boss,
having known the smoky gods of Antarctica
who recognize each other solely by the nose
and can end rebellions with a glance
and count the deaths as members of the crew?
How can I take orders from a boss whose name isn't Shackleton?
 
 
17.
""Second in command,” “Lieutenant,” “Shackleton’s right hand”
 
What did she see so clearly in me,
my drama teacher in elementary school
when she'd always assign me the role of Father Joseph,
of Gaspar the Magi offering Jesus frankincense,
or of John the Baptist always there to clear the path?
What did she see in my metallic pupils, baritone voice,
      infrequent speech
as if scissors, bandage, and iodine
inside a first aid kit?
 
Under Antarctica's naked sky, each of us followed his own star.
Even the carpenter, his own heraldic calling.
You didn’t need much to feed them;
 just a few crusts of insomnia and the tents' punctured holes.
 
My star was weak; you could hardly see it
hidden behind another larger, troubled star
like a calm valley that appears behind jagged peaks
more attractive when absent.
 
 
18.
What happened afterward can be told in a few words:
I worked in a mine; earth’s warm heart,
happened to be crueler than her frozen brain.
I laid railroad tracks South, always toward the Unknown.
It was like playing only two strings on a violin: joy and sorrow,
fatefully blending at the horizon.
 
I repaired houses. Another waste of time.
I never understood their weak points,
just as you can't make out eyes from genitals or mouth
in some underwater creatures.
 
And when I was left penniless,
I gave lectures about Antarctica,
water gurgling in my gullet every five words, for those few
who listened patiently to an adventure of survival.
 
Then Bea arrived. Or sweet Beatrice.
It was easy to grant her what I had left in my heart
—that set of heavy museum keys—
with no fear she might lose them.
 
Tired lungs and liver
could barely follow my split image
of bust and bottle of booze.
Like a prophet in the last circle of Dante’s Inferno,
I carried my own decapitated head in hand.
 
My ashes were lost at the base of a church. No one
      thought of them.
It was a time of war. Another world war. The second
one not knowing what to do with her own ashes either.
 
19.
Some of us died in the war.  Others took to the sea again,
the gray, cracked waters of the South,
decks perspiring fuel and alcohol.
Our random itineraries. Full-time melancholics.
 
For months in Antarctica,
we waited for our shadow to return
and consumed that question you ask yourself only once in your
     lifetime,
the way one consumes chickenpox.
 
And the rest of the time,
we counted the scars left on our faces,
with a gesture you could call indifferent and epic,
or childlike.
 
",Luljeta Lleshanaku,"Living,Death,Nature,Landscapes & Pastorals,Mythology & Folklore,Heroes & Patriotism",F
