,Title,Poem,Poet,Tags,gender
140,"
                    how to get over [""when the poem flirts...""]
                ","



               for those of us who can’t quite quit her



when the poem flirts
similes hugging her thighs
 
like a tight skirt: consider
the possibilities.
 
if the poem follows
you home, whiskey
 
pickling her tongue:
make her coffee, black.
 
if the poem arrives
dressed as metaphor,
 
begging for candy: trick
or retreat till the mask falls.
 
should the poem slink
outta panties, stand
 
naked demanding touch:
finger her lines
 
till her stanzas beg
for an encore: come
 
again, explore, imagine odd
positions of sweet revision.
 
and whenever she whispers,stop: listen and leave her be.
 
",T'ai Freedom Ford,"Desire,Poetry & Poets",NB
242,"
                    The Woman Who Turned Down a Date with a Cherry Farmer
                ","



           Fredonia, NY



Of course I regret it. I mean there I was under umbrellas of fruit
so red they had to be borne of Summer, and no other season. 
Flip-flops and fishhooks. Ice cubes made of lemonade and sprigs 
of mint to slip in blue glasses of tea. I was dusty, my ponytail
all askew and the tips of my fingers ran, of course, red
from the fruitwounds of cherries I plunked into my bucket
and still—he must have seen some small bit of loveliness
in walking his orchard with me. He pointed out which trees
were sweetest, which ones bore double seeds—puffing out
the flesh and oh the surprise on your tongue with two tiny stones
(a twin spit), making a small gun of your mouth. Did I mention
my favorite color is red? His jeans were worn and twisty
around the tops of his boot; his hands thick but careful, 
nimble enough to pull fruit from his trees without tearing
the thin skin; the cherry dust and fingerprints on his eyeglasses. 
I just know when he stuffed his hands in his pockets, saidOkay. Couldn't hurt to try? and shuffled back to his roadside stand
to arrange his jelly jars and stacks of buckets, I had made
a terrible mistake. I just know my summer would've been
full of pies, tartlets, turnovers—so much jubilee. 
",Aimee Nezhukumatathil,"Living,Disappointment & Failure,Desire,Nature,Summer",F
243,"
                    Hell Pig
                ","
To keep me from staying out late at night, 
my mother warned of the Hell Pig. Black and full
of hot drool, eyes the color of a lung—it'd follow me
home if I stayed past my curfew. How to tell my friends
to press Pause in the middle of a video, say their good-byes
while I shuffled up the stairs and into my father's waiting
blue car? How to explain this to my dates, whisper
why we could not finish this dance? It's not like the pig
had any special powers or could take a tiny bite
from my leg—only assurances that it was simply
scandal to be followed home. When my date and I
pull into my driveway and dim the lights, we take
care to make all the small noises that get made
in times like these even smaller: squeaks in the seats, 
a slow spin of the radio dial, the silver click of my belt. 
Too late. A single black hair flickers awake the ear
of the dark animal waiting for me at the end of the walk. 
My fumbling of keys and various straps a wild dance
to the door—the pig grunting in tune to each hurried step, each
of his wet breaths puffing into tiny clouds, a small storm brewing. 
",Aimee Nezhukumatathil,"Living,Coming of Age,Love,Desire,Nature,Animals,Mythology & Folklore,Ghosts & the Supernatural",F
314,"
                    The Invisible Body
                ","



Regla lesbia: Flexible rule that may be adjusted to any
body to be measured. Compare regla fija: standard. 
                                                    —The Velázquez Dictionary



I.
In the garden, it’s there. Even when you’re inside you feel it,
as though it were you standing naked among the weeds,
 
the tips of the bougainvillea bursting into flame, your nipples
ruffled like the skin of a lake by a breeze.
 
You worship the invisible body like an old-fashioned lover, from afar,
loving the specificity of space between you.
 
Sometimes at night it stretches out on the empty side
of the bed, stares at you with the length of its invisible surface.
 
Every contour of your body not filled by you is molded
by the attentiveness of the invisible body, whose breath surrounds
     you.
 
It’s more than prayer it wants—more than language, with its
     conditions.
The invisible body demands you invent new senses to receive it,
 
new places on your body to marvel at its subtlety,
like the eyes of the deaf percussionist that perceive sound.
 
II.
The invisible body wants you to become a satellite dish,
tuned to what exists only because your body calls to it.
 
Like the woman who had her kitchen remodeled to make room
for the microwave she’d entered a contest for. Then won.
 
III.
When asked whether falling in love was about acquisitiveness,
about the ego, the seventy-five-year-old poet
 
responded that the ego had nothing to do with it;
it was the need for union with the beloved.
 
Rumi asks, Who is it we spend our entire lives loving? 
 
IV.
How, then, do you measure the invisible body,
which resists commitment but is faithful?
 
Is it clear who the beloved is, when no clear
body exists that can be measured against a standard?
 
V.
The invisible body sometimes acquires a body—it’s so convincing,
it takes you a while to figure out it’s really the invisible body.
 
Like someone who has been reading your journal,
it has decoded from your petty, daily complaints the open sesame
 
that slides the stone from the hidden cave’s opening
and cleans you out while you sleep, leaving a sarcastic note.
 
It wants you to know it was doing you a favor, besides,
how else did you think you’d discover the cave’s precise location?
 
When Aphrodite sharpens you, you sacrifice a little of yourself,
willingly, as a knife does, so that you may become better at it.
 
VI.
This is the point at which the invisible body speaks
in italics, the Ouija board of poetry.
 In my mind, says the invisible body, that time capsule shuttlingthrough space, I hold, in all the languages of the world,
 your love, rushed like holographic platters to a table,steaming into the future long after you’ve ceased to shine,
 the silver faces of your beloved bobbing out of the darkness,the black velvet pillow of your life on which you offer them for view.
 
VII.
The invisible body is created out of your longing, your longing
compressing invisible molecules together into an absence you
     recognize.
 
That is the way one blind man sees the world—after the fact,
in photographs he took, once he had passed through it.
",Aleida Rodríguez,"Living,The Body,Love,Desire",F
455,"
                    Six Sonnets: Crossing the West
                ","
1
Desert heat, high clouds, and sky
the color of lapis. On this journey,
anything seems possible,
so we stop by an ancient cottonwood
to kiss. The beauty trembles,
doesn't say a word, just watches
me, so open. Small birds fly by, flock
in the shady tree above us. What
settles in her heart? What congeals?
Hope? Despair? Far off, the river churns
in its sandy banks, swallows veer, turn
in fiery air. Will these kisses seal
her to me? I her lover, she my wife?
Is all of this a dream, my whole life?
 
2
She is just this side of wonderful,
and suddenly the glamorous world
fills itself with shining and we laugh
at highway monuments that explain
how hard the trek had been for Franciscans
in the Indian wilderness, poor fellows—
conversion is the devil's own
work! Then the stones of her dream
turn up under her feet, the back
of a huge land turtle. I know
we must be circling Paradise
because the ants enter the fleshy petals
of the roadside flowers with evident
joy and purpose (oh, my dark, pretty one).
 
3
Music, my adored. When is there never
music? My accordion puffs up
with drinkable melodies. I spill
her tunes into your listening ear,
one after the other: the squeeze-box
enters the dance of the plaintive gypsy
with its hard rhythms, lilts the back-
breaking labor song the worker croons
to earth, warbles romantic notes of
dissolving borders. You melt
like a woman beneath her lover's touch.
Music is happy and pitiless when
it sets fire to combustible souls. Even
the raspy bandoneon's voice is lyric.
 
4
Sacred. Sacred. Sacred. Sacred. (Speak
in a whisper.) We slip into this
space half cognizant. The land is very
large indeed: bones of the earth
worn down, though she is a living thing.
See how she exposes her grace? Antelopes
graze on the far plain—their high,
white tails—the red soil throbs
its slow heartbeat, and the blue sky
clears so smartly, perfectly, like
radiance. Are the ancestors near?
What can we know? We decide
to wander around this prairie, mistaken
for Utes, buy commodities in little towns.
 
5
Late afternoon we head west along the willow-banked
Malheur after the long curve of the Snake River plain.
(Above the falls where the Shoshone went to pray
we soaked our feet in cold water, and I observed
the arch of her brown foot.) Rabbitbrush and sage
along the highway, juniper on far hills and bluffs.
Sundown, and dusk falls over the wide basin of land.
In Burns we eat eggs in a cafe, take a room
in the Motel 6. In the dark, I can see
her black hair, black against the pillows. Its clean
scent makes me think of corn. At dawn, I hold her
and there are kisses. Then more kisses. Then more.
The day is cold; a north wind blew last night. But
the land is open. Rain falls in showers of light.
 
6
Her hand on my thigh, my shoulder,
in my hair. She leans over to kiss my cheek.
We look at each other, smile. For miles
we travel this way, nearly silent, point
with eyes or chins at the circling hawk, the king-
fisher on the snag above the swollen
creek. One night I weep in her arms
as she cries, ""Oh, oh, oh!"" because I have touched
her scars lightly: throat, belly, breasts.
In that communion of lovers, thick sobs
break from me as I think of my love
back home, all that I have done
and cannot say. This is the first time
I have left her so completely, so alone.
 
",Janice Gould,"Love,Desire,Activities,Travels & Journeys,Relationships,Family & Ancestors,LGBTQ,Nature,Landscapes & Pastorals,Social Commentaries,History & Politics",F
470,"
                    Untitled, With Rosy Inflection
                ","
I would have come.
When you called. But.
I had the most beautiful pale pink rose.
Its healthy stem was clenched between my teeth. And.
Its thorns bit sharply into my tender wet flesh. So.
 
I couldn't answer you. Still.
My lips moved at you silently.
They offered words you never heard.
They screamed inside my crazed brain. Only.
It could do nothing for you.
 
In time the petals wilted.
They blew away. And.
They became compost in someone else's garden.
The tough, fibrous stem withered.
I bit down hard to snap its grip on me. Then.
 
My teeth fell out.
Its thorns had burrowed into my cheeks.
They had implanted themselves permanently.
They were suckling on my softest tissues. And.
Not long after they sprouted tiny shoots.
 
They coiled their way down.
I still held the memory of your call. And.
The long stemmed beauty lodged next to it.
They cleaved unto the long roots curling down my neck.
My body held tight and listened. Hard.
",elena minor,"Love,Desire,Nature,Trees & Flowers,Arts & Sciences,Language & Linguistics",F
486,"
                    Dreaming of Lesbos
                ","
I can enter the morning with traces of an eternal dream: to live
on a planet of women. we sing in the fertile forest, caress on
lavender hills, bathe beneath cascades of clear waters. and just
like that, nude and wet, we mount each other’s bodies. our
desire is a whale that searches for calm in the depth of the sea.
 
I smell sex in my hair when I awaken.
 
the dream perfumes all of my days. I go to the post office and
look for stamps with etchings of flowers and fruits so that I can
send letters to the women who loved me in my sleep.
 
we are in a world that is not ours. what do we do with the
dreams that touch our consciousness in the nude each night?
 
our planet of women is nothing more than a dream. who knows
how many of us bathe in the woods or which ones of us have
wings that let us fly with our flesh? it’s not for anyone to know.
fortunately, we always dream paradise, we make it ours. there,
we find each other and live in our collective memory.
 
and so, I smell sex in my hair when I awaken.
",Tatiana de la Tierra,"Love,Desire,Relationships,LGBTQ,Social Commentaries,Gender & Sexuality",F
538,"
                    Sex, Night
                ","
Once again, someone falls in their first falling–fall of two bodies, of two eyes, of four green eyes or eight green eyes if we count those born in the mirror (at midnight, in the purest fear, in the loss), you haven’t been able to recognize the voice of your dull silence, to see the earthly messages scrawled in the middle of one mad state, when the body is a glass and from ourselves and from the other we drink some kind of impossible water.
         Desire needlessly spills on me a cursed liqueur. For my thirsty thirst, what can the promise of eyes do? I speak of something not in this world. I speak of someone whose purpose is elsewhere.
         And I was naked in memory of the white night. Drunk and I made love all night, just like a sick dog.
         Sometimes we suffer too much reality in the space of a single night. We get undressed, we’re horrified. We’re aware the mirror sounds like a watch, the mirror from which your cry will pour out, your laceration.
         Night opens itself only once. It’s enough. You see. You’ve seen. Fear of being two in the mirror, and suddenly we’re four. We cry, we moan, my fear, my joy more horrible than my fear, my visceral words, my words are keys that lock me into a mirror, with you, but ever alone. And I am well aware what night is made of. We’ve fallen so completely into jaws that didn’t expect this sacrifice, this condemnation of my eyes which have seen. I speak of a discovery: felt the I in sex, sex in the I. I speak of burying everyday fear to secure the fear of an instant. The purest loss. But who’ll say: you don’t cry anymore at night? Because madness is also a lie. Like night. Like death.
 
",Alejandra Pizarnik,"Living,The Body,The Mind,Love,Desire",F
592,"
                    Seven Minutes in Heaven
                ","
It’s all the rage to sport waxed moustaches
and cure your own sausages
in some mildewy basement that formerly
would have hosted convulsively
awkward parties with spin the bottle and seven
minutes in the dark and terrifying closet
(aka heaven) but now boasts soppressata
strung on repurposed vintage drying racks
and fat clay pots of kombucha and curdling hops.
Personally I've never recovered from the sex-shaped
void left in those closets by all the groping
that should have occurred to me but didn't:
right under my nose kids my age were creeping
into adulthood one clammy, trembling palm
on one breast at a time. There was also
the horror of not being chosen in gym.
It is conceivable that learning intricately
how to butcher an entire hog
and render every morsel might give one
a feeling of mastery one lacked in childhood.It is the greatest immaturity to believe sufferingentitles you to something someone wiser
and grayer than I once said.
But in those basements and carpools and
playgrounds as I assassinated one by one
clandestinely my torturers
abandoning their foul normal
bodies to compost the astonishing
tedium of the wending suburban lanes,
I was transubstantiating to supernal
fame and beauty and such eerie genius
that entire books were written about my
books. In fact it takes a long time to realize
your suffering is of very little consequence
to anyone but you. And by that time the future
is already happening and you're pickling okra
and starfruit and foraging for morels in urban forests
and suspending artisan mozzarella in little wet nets
and crafting small-batch, nitrite-free data
and maybe even thinking about having
children, which you swore in a million
billion years you would never do.
 
",Melissa Stein,"Living,Coming of Age,Disappointment & Failure,Love,Desire",F
677,"
                    Wing Shows on Starway Zodiac Carousel
                ","
Cyclones
of ecstatic dust
and ashes whirl
crusaders
from hallucinatory citadels
of shattered glass
into evacuate craters
 
A flock of dreams
browse on Necropolis
 
From the shores
of oval oceans
in the oxidized Orient
 
Onyx-eyed Odalisques
and ornithologists
observe the flight
of Eros obsolete
 
And ""Immortality""
mildews
in the museums of the moon
",Mina Loy,"Living,Death,Love,Desire",F
