,Title,Poem,Poet,Tags,gender
175,"
                    Finding My Mother
                ","
Near dusk I find her in a newly mown field, lying still
and face down in the coarse stubble. Her arms
 
are splayed out on either side of her body, palms open
and turned upward like two lilies, the slender fingers
 
gently curling, as if holding onto something. Her legs
are drawn up underneath her, as if she fell asleep there
 
on her knees, perhaps while praying, perhaps intoxicated
by the sweet liquid odor of sheared grass.
 
Her small ankles, white and unscarred, are crossed
one on top of the other, as if arranged so in ritual fashion.
 
Her feet are bare. I cannot see her face, turned
toward the ground as it is,
 
but her long black hair is lovelier than I remember it,
spilling across her back and down onto the felled stalks
 
like a pour of glossy tar. Her flesh is smooth
and cool, slightly resistant to my touch.
 
I begin to look around me for something with which
to carry her back—carry her back, I hear myself say,
 
as if the words spoken aloud, even in a dream,
will somehow make it possible.
 
I am alone in a field, at dusk, the light leaving
the way it has to, leaking away the way it has to
 
behind a ridge of swiftly blackening hills. I lie down
on the ground beside my mother under falling darkness
 
and draw my coat over our bodies. We sleep there like that.
 
",Mari L'Esperance,"The Mind,Friends & Enemies",F
234,"
                    Elegy
                ","
I saw you fall to the ground.
I saw the oaks fall.  The clouds collapsed.
I saw a wildness twist through your limbs
and fly off.  The river fell, the grasses fell. 
The backs of six drowned cattle
rose to the surface ice—nothing moved.
But a wind touched my ankles when the snow began.
You left that night and we stayed,
our arms braced with weight.  What power
there was was over.  But I switched on the light
by the porch to see if anything was falling—
and it fell, a few glints in the air,
catching sun although there was no sun,
and the long descent over hours, all night,
seemed like years, and we buried our faces
in what came to rest on the ground
or moved our feet over it, effortless,
as nothing was in our lives, or ever will be.
 
",Joanna Klink,"Living,Death,Health & Illness,Sorrow & Grieving,Relationships,Friends & Enemies,Nature,Weather",F
261,"
                    Hoping to Hear from a Former Friend
                ","
Is it you on the other end of the line
     hesitant to speak to me, pausing for a moment
to register my hello so you know my number
     stayed the same, my last name remains mine?
Though my voice isn’t young as when we last spoke,
     don’t you hear a familiar timbre?
Still you hesitate so as not to startle me
     after all this time. Dots string out like an ellipsis
in the endless sentence of your absence.
     I hear static-filled ticking, then
a friendly stranger mispronounces my name.
     Recognizing a pitch to sell something
and feeling foolish, I hang up quickly.
     Won’t you ever break your long silence?
Sorrow and anger keep my line open to you.
 
",Margaret Hasse,"Living,Sorrow & Grieving,Relationships,Friends & Enemies",F
440,"
                    Making Enchiladas
                ","
We set up an assembly line.
I heat the tortillas in manteca 
after Crystal dips them in chile ancho 
and drains them. Niles carries full plates
of hot tortillas to his father,
who rolls them around spoonfuls of filling.
When we’ve finished the hot, greasy work,
I pour the last of the sauce over neat rows
of stuffed tortillas, sprinkle them with cheese,
clean the stove and counters.
The kids help their father rinse plates and pans.
They don’t know this is the last time.
The cheese melts. Crystal
dances to “No More Lonely Nights” on the radio.
Niles and his dad joke and wrestle.
After grace, we sit before steaming plates.
The kids stuff their mouths, insult each other,
and laugh. We can’t avoid their eyes
forever. Their father and I stare
at each other across the table.
",Linda Rodriguez,"Living,Parenthood,Separation & Divorce,Activities,Eating & Drinking,Relationships,Friends & Enemies,Men & Women",F
514,"
                    [photos of her father]
                ","
photos of her father
in enemy uniform—
the taste of almonds
",Sandra Simpson,"Relationships,Family & Ancestors,Friends & Enemies,Social Commentaries,History & Politics,War & Conflict",F
616,"
                    To the Oppressors
                ","
Now you are strong
And we are but grapes aching with ripeness.
Crush us!
Squeeze from us all the brave life
Contained in these full skins.
But ours is a subtle strength
Potent with centuries of yearning,
Of being kegged and shut away
In dark forgotten places.
 
We shall endure
To steal your senses
In that lonely twilight
Of your winter’s grief.
",Pauli Murray,"Relationships,Friends & Enemies,Social Commentaries,History & Politics,Race & Ethnicity,War & Conflict",F
753,"
                    Sonnet
                ","
Since you would claim the sources of my thoughtRecall the meshes whence it sprang unlimed,The reedy traps which other hands have timedTo close upon it. Conjure up the hotBlaze that it cleared so cleanly, or the snowDevised to strike it down. It will be free.Whatever nets draw in to prison meAt length your eyes must turn to watch it go.
 My mouth, perhaps, may learn one thing too well,My body hear no echo save its own,Yet will the desperate mind, maddened and proud,Seek out the storm, escape the bitter spellThat we obey, strain to the wind, be thrownStraight to its freedom in the thunderous cloud.
 
",Louise Bogan,"Living,The Mind,Relationships,Friends & Enemies",F
842,"
                    Lines of Life
                ","





Orphan in my first years, I early learnt
To make my heart suffice itself, and seek
Support and sympathy in its own depths.
 




Well, read my cheek, and watch my eye, —
    Too strictly school'd are they
One secret of my soul to show,
    One hidden thought betray.
 
I never knew the time my heart
    Look'd freely from my brow;
It once was check'd by timidness,
     'Tis taught by caution now.
 
I live among the cold, the false,
    And I must seem like them;
And such I am, for I am false
   As those I most condemn.
 
I teach my lip its sweetest smile,
    My tongue its softest tone;
I borrow others' likeness, till
    Almost I lose my own.
 
I pass through flattery's gilded sieve,
    Whatever I would say;
In social life, all, like the blind,
    Must learn to feel their way.
 
I check my thoughts like curbed steeds
    That struggle with the rein;
I bid my feelings sleep, like wrecks
    In the unfathom'd main.
 
I hear them speak of love, the deep.
    The true, and mock the name;
Mock at all high and early truth,
    And I too do the same.
 
I hear them tell some touching tale,
    I swallow down the tear;
I hear them name some generous deed,
    And I have learnt to sneer.
 
I hear the spiritual, the kind,
    The pure, but named in mirth;
Till all of good, ay, even hope,
    Seems exiled from our earth.
 
And one fear, withering ridicule,
    Is all that I can dread;
A sword hung by a single hair
    For ever o'er the head.
 
We bow to a most servile faith,
    In a most servile fear;
While none among us dares to say
    What none will choose to hear.
 
And if we dream of loftier thoughts,
    In weakness they are gone;
And indolence and vanity
    Rivet our fetters on.
 
Surely I was not born for this!
    I feel a loftier mood
Of generous impulse, high resolve,
    Steal o'er my solitude!
 
I gaze upon the thousand stars
    That fill the midnight sky;
And wish, so passionately wish,
    A light like theirs on high.
 
I have such eagerness of hope
    To benefit my kind;
And feel as if immortal power
    Were given to my mind.
 
I think on that eternal fame,
    The sun of earthly gloom.
Which makes the gloriousness of death,
    The future of the tomb —
 
That earthly future, the faint sign
    Of a more heavenly one;
— A step, a word, a voice, a look, —
    Alas! my dream is done!
 
And earth, and earth's debasing stain,
    Again is on my soul;
And I am but a nameless part
    Of a most worthless whole.
 
Why write I this? because my heart
    Towards the future springs,
That future where it loves to soar
    On more than eagle wings.
 
The present, it is but a speck
    In that eternal time,
In which my lost hopes find a home,
    My spirit knows its clime.
 
Oh! not myself, — for what am I? —
    The worthless and the weak,
Whose every thought of self should raise
    A blush to burn my cheek.
 
But song has touch’d my lips with fire.
    And made my heart a shrine;
For what, although alloy'd, debased,
    Is in itself divine.
 
I am myself but a vile link
    Amid life's weary chain;
But I have spoken hallow'd words,
    O do not say in vain!
 
My first, my last, my only wish,
    Say will my charmed chords
Wake to the morning light of fame,
    And breathe again my words?
 
Will the young maiden, when her tears
    Alone in moonlight shine —
Tears for the absent and the loved —
    Murmur some song of mine?
 
Will the pale youth by his dim lamp,
    Himself a dying flame,
From many an antique scroll beside,
    Choose that which bears my name?
 
Let music make less terrible
    The silence of the dead;
I care not, so my spirit last
    Long after life has fled.
 
",Letitia Elizabeth Landon,"Relationships,Friends & Enemies,Arts & Sciences,Poetry & Poets",F
844,"
                    Erinna
                ","




Was she of spirit race, or was she one
Of earth's least earthly daughters, one to whom
A gift of loveliness and soul is given,
Only to make them wretched?

There is an antique gem, on which her brow
Retains its graven beauty even now.
Her hair is braided, but one curl behind
Floats as enamour'd of the summer wind;
The rest is simple. Is she not too fair
Even to think of maiden's sweetest care?
The mouth and brow are contrasts. One so fraught
With pride, the melancholy pride of thought
Conscious of power, and yet forced to know
How little way such power as that can go;
Regretting, while too proud of the fine mind,
Which raises but to part it from its kind:
But the sweet mouth had nothing of all this;
It was a mouth the rose had lean'd to kiss
For her young sister, telling, now though mute,
How soft an echo it was to the lute.
The one spoke genius, in its high revealing;
The other smiled a woman's gentle feeling.
It was a lovely face: the Greek outline
Flowing, yet delicate and feminine;
The glorious lightning of the kindled eye,
Raised, as it communed with its native sky.
A lovely face the spirit's fitting shrine;
The one almost, the other quite divine.




My hand is on the lyre which never more
With its sweet commerce, like a bosom friend,
Will share the deeper thoughts which I could trust
Only to music and to solitude.
It is the very grove, the olive grove,
Where first I laid my laurel crown aside,
And bathed my fever'd brow in the cold stream;
As if that I could wash away the fire
Which from that moment kindled in my heart.
I well remember how I flung myself,
Like a young goddess, on a purple cloud
Of light and odour — the rich violets
Were so ethereal in bloom and breath:
And I — I felt immortal, for my brain
Was drunk and mad with its first draught of fame.
'Tis strange there was one only cypress tree,
And then, as now, I lay beneath its shade.
The night had seen me pace my lonely room,
Clasping the lyre I had no heart to wake,
Impatient for the day: yet its first dawn
Came cold as death; for every pulse sank down,
Until the very presence of my hope
Became to me a fear.    The sun rose up;
I stood alone 'mid thousands: but I felt
Mine inspiration; and, as the last sweep
Of my song died away amid the hills,
My heart reverb'rated the shout which bore
To the blue mountains and the distant heavenErinna's name, and on my bended knee,
Olympus, I received thy laurel crown.
 
   And twice new birth of violets have sprung,
Since they were first my pillow, since I sought
In the deep silence of the olive grove
The dreamy happiness which solitude
Brings to the soul o'erfill'd with its delight:
For I was like some young and sudden heir
Of a rich palace heap'd with gems and gold,
Whose pleasure doubles as he sums his wealth
And forms a thousand plans of festival;
Such were my myriad visions of delight.
The lute, which hitherto in Delphian shades
Had been my twilight's solitary joy,
Would henceforth be a sweet and breathing bond
Between me and my kind.    Orphan unloved,
I had been lonely from my childhood's hour,
Childhood whose very happiness is love:
But that was over now; my lyre would be
My own heart's true interpreter, and those
To whom my song was dear, would they not bless
The hand that waken'd it? I should be loved
For the so gentle sake of those soft chords
Which mingled others' feelings with mine own.
 
    Vow'd I that song to meek and gentle thoughts,
To tales that told of sorrow and of love,
To all our nature's finest touches, all
That wakens sympathy: and I should be
Alone no longer; every wind that bore,
And every lip that breathed one strain of mine,
Henceforth partake in all my joy and grief.
Oh! glorious is the gifted poet's lot,
And touching more than glorious: 'tis to be
Companion of the heart's least earthly hour;
The voice of love and sadness, calling forth
Tears from their silent fountain: 'tis to have
Share in all nature's loveliness; giving flowers
A life as sweet, more lasting than their own;
And catching from green wood and lofty pine
Language mysterious as musical;
Making the thoughts, which else had only been
Like colours on the morning's earliest hour,
Immortal, and worth immortality;
Yielding the hero that eternal name
For which he fought; making the patriot's deed
A stirring record for long after-time;
Cherishing tender thoughts, which else had pass'd
Away like tears; and saving the loved dead
From death's worst part — its deep forgetfulness.
 
From the first moment when a falling leaf,
Or opening bud, or streak of rose-touch'd sky,
Waken'd in me the flush and flow of song,
I gave my soul entire unto the gift
I deem'd mine own, direct from heaven; it was
The hope, the bliss, the energy of life;
I had no hope that dwelt not with my lyre,
No bliss whose being grew not from my lyre,
No energy undevoted to my lyre.
It was my other self that had a power;
Mine, but o'er which I had not a control.
At times it was not with me, and I felt
A wonder how it ever had been mine:
And then a word, a look of loveliness,
A tone of music, call'd it into life;
A song came gushing, like the natural tears,
To check whose current does not rest with us.
 
    Had I lived ever in the savage woods,
Or in some distant island, which the sea
With wind and wave guards in deep loneliness;
Had my eye never on the beauty dwelt
Of human face, and my ear never drank
The music of a human voice; I feel
My spirit would have pour'd itself in song,
Have learn'd a language from the rustling leaves,
The singing of the birds, and of the tide.
Perchance, then, happy had I never known
Another thought could be attach'd to song
Than of its own delight.    Oh! let me pause
Over this earlier period, when my heart
Mingled its being with its pleasures, fill'd
With rich enthusiasm, which once flung
Its purple colouring o'er all things of earth,
And without which our utmost power of thought
But sharpens arrows that will drink our blood.
Like woman's soothing influence o'er man
Enthusiasm is upon the mind;
Softening and beautifying that which is
Too harsh and sullen in itself.    How much
I loved the painter's glorious art, which forms
A world like, but more beautiful than, this;
Just catching nature in her happiest mood!
How drank I in fine poetry, which makes
The hearing passionate, fill'd with memories
Which steal from out the past like rays from clouds!
And then the sweet songs of my native vale,
Whose sweetness and whose softness call'd to mind
The perfume of the flowers, the purity
Of the blue sky; oh, how they stirr'd my soul! —
Amid the many golden gifts which heaven
Has left, like portions of its light, on earth
None hath such influence as music hath.
The painter's hues stand visible before us
In power and beauty; we can trace the thoughts
Which are the workings of the poet's mind:
But music is a mystery, and viewless
Even when present, and is less man's act,
And less within his order; for the hand
That can call forth the tones, yet cannot tell
Whither they go, or if they live or die,
When floated once beyond his feeble ear;
And then, as if it were an unreal thing,
The wind will sweep from the neglected strings
As rich a swell as ever minstrel drew.
 
    A poet's word, a painter's touch, will reach
The innermost recesses of the heart,
Making the pulses throb in unison
With joy or grief, which we can analyse;
There is the cause for pleasure and for pain:
But music moves us, and we know not why;
We feel the tears, but cannot trace their source.
Is it the language of some other state,
Born of its memory?    For what can wake
The soul's strong instinct of another world,
Like music?    Well with sadness doth it suit
To hear the melancholy sounds decay,
And think (for thoughts are life's great human links,
And mingle with our feelings) even so
Will the heart's wildest pulses sink to rest.
 
    How have I loved, when the red evening fill'd
Our temple with its glory, first, to gaze
On the strange contrast of the crimson air,
Lighted as if with passion, and flung back,
From silver vase and tripod rich with gems,
To the pale statues round, where human life
Was not, but beauty was, which seem'd to have
Apart existence from humanity:
Then, to go forth where the tall waving pines
Seem'd as behind them roll'd a golden sea
Immortal and eternal; and the boughs,
That darkly swept between me and its light,
Were fitting emblems of the worldly cares
That are the boundary between us and heaven;
Meanwhile, the wind, a wilful messenger
Lingering amid the flowers on his way,
At intervals swept past in melody,
The lutes and voices of the choral hymn
Contending with the rose-breath on his wing!
Perhaps it is these pleasures' chiefest charm,
They are so indefinable, so vague.
From earliest childhood all too well aware
Of the uncertain nature of our joys,
It is delicious to enjoy, yet know
No after-consequence will be to weep.
Pride misers with enjoyment, when we have
Delight in things that are but of the mind:
But half humility when we partake
Pleasures that are half wants, the spirit pines
And struggles in its fetters, and disdains
The low base clay to which it is allied.
But here our rapture raises us: we feel
What glorious power is given to man, and find
Our nature's nobleness and attributes,
Whose heaven is intellect; and we are proud
To think how we can love those things of earth
Which are least earthly; and the soul grows pure
In this high communing, and more divine.
 
    This time of dreaming happiness pass'd by,
Another spirit was within my heart;
I drank the maddening cup of praise, which grew
Henceforth the fountain of my life; I lived
Only in others' breath; a word, a look,
Were of all influence on my destiny:
If praise they spoke, 'twas sunlight to my soul;
Or censure, it was like the scorpion's sting.
 
And yet a darker lesson was to learn —
The hollowness of each: that praise, which is
But base exchange of flattery; that blame,
Given by cautious coldness, which still deems
'Tis safest to depress; that mockery,
Flinging shafts but to show its own keen aim;
That carelessness, whose very censure's chance;
And, worst of all, the earthly judgment pass'd
By minds whose native clay is unredeem'd
By aught of heaven, whose every thought falls foul
Plague-spot on beauty which they cannot feel,
Tainting all that it touches with itself.
O dream of fame, what hast thou been to me
But the destroyer of life's calm content!
I feel so more than ever, that thy sway
Is weaken'd over me. Once I could find
A deep and dangerous delight in thee;
But that is gone.    I am too much awake.
Light has burst o'er me, but not morning's light;
'Tis such light as will burst upon the tomb,
When all but judgment's over.    Can it be,
That these fine impulses, these lofty thoughts,
Burning with their own beauty, are but given
To make me the low slave of vanity,
Heartless and humbled?     O my own sweet power,
Surely thy songs are made for more than this!
What a worst waste of feeling and of life
Have been the imprints of my roll of time,
Too much, too long!    To what use have I turn'd
The golden gifts in which I pride myself?
They are profaned; with their pure ore I made
A temple resting only on the breath
Of heedless worshippers.    Alas! that ever
Praise should have been what it has been to me —
The opiate of my heart.    Yet I have dream'd
Of things which cannot be; the bright, the pure,
That all of which the heart may only dream;
And I have mused upon my gift of song,
And deeply felt its beauty, and disdain'd
The pettiness of praise to which at times
My soul has bow'd; and I have scorn'd myself
For that my cheek could burn, my pulses beat
At idle words.    And yet it is in vain
For the full heart to press back every throb
Wholly upon itself.    Ay, fair as are
The visions of a poet's solitude,
There must be something more for happiness;
They seek communion.    It had seem'd to me
A miser's selfishness, had I not sought
To share with others those impassion'd thoughts,
Like light, or hope, or love, in their effects.
When I have watch'd the stars write on the sky
In characters of light, have seen the moon
Come like veiled priestess from the east,
While, like a hymn, the wind swell'd on mine ear,
Telling soft tidings of eve's thousand flowers,
Has it not been the transport of my lute
To find its best delight in sympathy?
Alas! the idols which our hopes set up,
They are Chaldean ones, half gold, half clay;
We trust we are deceived, we hope, we fear,
Alike without foundation; day by day
Some new illusion is destroyed, and life
Gets cold and colder on towards its close.
Just like the years which make it, some are check'd
By sudden blights in spring; some are dried up
By fiery summers; others waste away
In calm monotony of quiet skies,
And peradventure these may be the best:
They know no hurricanes, no floods that sweep
As a God's vengeance were upon each wave;
But then they have no ruby fruits, no flowers
Shining in purple, and no lighted mines
Of gold and diamond.    Which is the best, —
Beauty and glory, in a southern clime,
Mingled with thunder, tempest; or the calm
Of skies that scarcely change, which, at the least,
If much of shine they have not, have no storms?
I know not: but I know fair earth or sky
Are self-consuming in their loveliness,
And the too radiant sun and fertile soil
In their luxuriance run themselves to waste,
And the green valley and the silver stream
Become a sandy desert.    O! the mind,
Too vivid in its lighted energies,
May read its fate in sunny Araby.
How lives its beauty in each Eastern tale,
Its growth of spices, and its groves of balm!
They are exhausted; and what is it now?
A wild and burning wilderness.    Alas!
For such similitude. Too much this is
The fate of this world's loveliest and best.
 
    Is there not a far people, who possess
Mysterious oracles of olden time,
Who say that this earth labours with a curse,
That it is fallen from its first estate,
And is now but the shade of what it was?
I do believe the tale.    I feel its truth
In my vain aspirations, in the dreams
That are revealings of another world,
More pure, more perfect than our weary one,
Where day is darkness to the starry soul.
 
    O heart of mine! my once sweet paradise
Of love and hope! how changed thou art to me!
I cannot count thy changes: thou hast lost
Interest in the once idols of thy being;
They have departed, even as if wings
Had borne away their morning; they have left
Weariness, turning pleasure into pain,
And too sure knowledge of their hollowness.
 
    And that too is gone from me; that which was
My solitude's delight!    I can no more
Make real existence of a shadowy world.
Time was, the poet's song, the ancient tale,
Were to me fountains of deep happiness,
For they grew visible in my lonely hours,
As things in which I had a deed and part;
Their actual presence had not been more true:
But these are bubbling sparkles, that are found
But at the spring's first source.    Ah! years may bring
The mind to its perfection, but no more
Will those young visions live in their own light;
Life's troubles stir life's waters all too much,
Passions chase fancies, and though still we dream,
The colouring is from reality.
 
    Farewell, my lyre! thou hast not been to me
All I once hoped.    What is the gift of mind,
But as a barrier to so much that makes
Our life endurable, — companionship,
Mingling affection, calm and gentle peace,
Till the vex'd spirit seals with discontent
A league of sorrow and of vanity,
Built on a future which will never be!
 
    And yet I would resign the praise that now
Makes my cheek crimson, and my pulses beat,
Could I but deem that when my hand is cold,
And my lip passionless, my songs would be
Number'd mid the young poet's first delights;
Read by the dark-eyed maiden in an hour
Of moonlight, till her cheek shone with its tears;
And murmur'd by the lover when his suit
Calls upon poetry to breathe of love.
I do not hope a sunshine burst of fame,
My lyre asks but a wreath of fragile flowers.
I have told passionate tales of breaking hearts,
Of young cheeks fading even before the rose;
My songs have been the mournful history
Of woman's tenderness and woman's tears;
I have touch'd but the spirit's gentlest chords, —
Surely the fittest for my maiden hand; —
And in their truth my immortality.
 
    Thou lovely and lone star, whose silver light,
Like music o'er the waters, steals along
The soften'd atmosphere; pale star, to thee
I dedicate the lyre, whose influence
I would have sink upon the heart like thine.
 
    In such an hour as this, the bosom turns
Back to its early feelings; man forgets
His stern ambition and his worldly cares,
And woman loathes the petty vanities
That mar her nature's beauty; like the dew,
Shedding its sweetness o'er the sleeping flowers
Till all their morning freshness is revived,
Kindly affections, sad but yet sweet thoughts,
Melt the cold eyes, long, long unused to weep.
O lute of mine, that I shall wake no more!
Such tearful music, linger on thy strings,
Consecrate unto sorrow and to love;
Thy truth, thy tenderness, be all thy fame!
 
",Letitia Elizabeth Landon,"Living,Life Choices,Relationships,Friends & Enemies,Arts & Sciences,Poetry & Poets,Mythology & Folklore,Greek & Roman Mythology",F
976,"
                    The Pampering of Leora
                ","
Therefore, no more recounting of dreams, a routine thing
that bores with expectations of invention, unfiltered
non sequiturs, unusual embraces
only from the practiced
young woman who everyday remembers
being a bride, she is changing behind that white curtain
Leora
fifteen again experiencing
prematurely the pure suckling of a baby
fifteen with a virgin desire for pure suckling
something to do with jasmine
with jasmine tea
existing only without accident
It blooms while Leora sleeps
when she sleeps at night and it is also dark
for the jasmine
four hours
of tea sucking on blossoms, Cestrum nocturnum like
colostrums: the earliest secretions, and then only milk
from mother
—there it is
seven times over
jasmine bath after jasmine bath
till the tea can get no better
highest grade as stasis
all As
gets so boring, ka-put
to the test of innovation
all the right answers
Leora
sees herself mermaid, eel, tiger
fish from waist down
form-fitting skirt of winks
under that bonefish or ladyfish profile: tail fins
already split, caught in transition from legs to fin
hybrid mutant bastard mestizo mulatto masala mule mix mutt
hm/bm/mmmmm
watered down (jasmine bath tea)
spiked (jasmine bath tea)
stands taller on tips of split tail fin
ps: pastiche, salmagundi when all dressed up
Leg and fin share custody
so young men sacrifice only below the belt
to please her
many wounded soldiers
her company
From now on storming the beaches
rocks already aftermath, the breaking of dozens of sphinxes
the taming of sandstone lions and griffins, gargoyles
Leora takes to breast anything capable of sucking
and being filled, no ban on leeches and vipers
that stick out like misplaced overdeveloped hairs
and while in position, her free hand
shaves the heads of Medusa’s children screaming
for more nursing
with her eyes closed, her free handy blade, sharpened
life line
The liquids of history therefore tend to ferment; the beverages for walks down
memory lane therefore become pungent cheeses and wines, the odes
to bitterness and sweetness happen. This is also desirable. Taste depends
on how the glass tilts, how tongue curls.
What’s difficult
is maintaining gaps as gaps. A sustainable nothingness.
But something enters. Sustainable nothingness
looks like a niche.
Ghosts and spirits of what’s been lost. A young woman looks over her shoulder.
Close watching of what’s fading does not mean the change from substance to spirit
would be observed. On the tippy-tips of split tail fin looking over her shoulder
a long line for the nurse, exceptional business, nonstop nursing
and the milk won’t stop, years are at the end of the line.
Pull the plug on a nearby respirator (how on earth?)
        (don’t assume location, location, location)
the substance travels the line
joins the community of electricity, colonies of gigantic storms
on the sun
and appearances in auroras
that the mermaid sits under as under any canopy
nonstop
The spell of the tide tailored to make the one falling under its influence fall more
willingly. It feels nothing like falling at all: Leora describes rehabilitation
Sand sparkles remembering having been alive
only once
Leora’s eyes
sparkle upon contact with crabs and their incredible redness
that ought to teach her something about fire she does not know
with top-heavy ways
of knowing
      (the brain should travel the stations of the body, and one day
       the eyes and navel, when the eyes accompany the brain,
       line up in a row)
                               —then a real reason for revisionDream on 
Accordingly, pureness of the situation milks its own purity
Fantastic and looks disgusting
        (no matter where the eyes are—candidate
         for truth)
but purity is still pure following
such a milking
The mermaid’s pregnancy has to be called immaculate after repeated searches for the
limits. Lost without those. Pure. Last resort and best explanation for birth of a human
baby from a mermaid without a human pelvis or womb. The best xrays
cannot find them. Machines arrive on the beach and leave defective.
Leora
continues nursing
her baby first in line
The milk is pure. It does not need to be pasteurized. Makes                               (empty)
no one ill. Nothing in it allows allergies. The chemistry                                       (empty)
of the milk is pure.                                                                                         (empty)
The molecules of the tabernacle of purity.
              (as if they are empty)                                                                  (nothing is right
                                                                                                                               here)
Law
Flattened out they are like flattened tetrahedrons,
probably are smashed pendulums
now
Leora
blessed
with impossibility of the usual kind of rape
her own brand
jasmine bath after jasmine bath
without legs
she does as much sitting
as anyone who ever sat on a throne
wheelchairs
keep evolving
 
",Thylias Moss,"Living,Infancy,Parenthood,Relationships,Friends & Enemies,Men & Women,Social Commentaries,Gender & Sexuality,Race & Ethnicity,Mythology & Folklore,Fairy-tales & Legends",F
