,Title,Poem,Poet,Tags,gender
229,"
                    Unlegendary Heroes
                ","



'Life passes through places.'
–P.J. Duffy, Landscapes of South Ulster
Patrick Farrell, of Lackagh, who was able to mow one acre and one rood Irish in a day. Tom Gallagher, Cornamucklagh, could walk 50 Irish miles in one day. Patrick Mulligan, Cremartin, was a great oarsman. Tommy Atkinson, Lismagunshin, was very good at highjumping—he could jump six feet high. John Duffy, Corley, was able to dig half an Irish acre in one day. Edward Monaghan, Annagh, who could stand on his head on a pint tumbler or on the rigging of a house.
          –1938 folklore survey to record the local people who occupied the South Ulster parish landscape.
                                                                                                                      * * *
 
 



 
           Kathleen McKenna, Annagola, who was able to wash a week’s sheets, shirts
      and swaddling, bake bread and clean the house
                   all of a Monday.
            Birdy McMahon, of Faulkland, walked to Monaghan for a sack of flour two days before   her eighth child was born.
  Cepta Duffy, Glennan, very good at sewing—embroidered a set of vestments    in five days.
  Mary McCabe, of Derrynashallog, who cared for her husband’s mother in dotage,    fed ten children, the youngest still at the breast during hay-making.  
   Mary Conlon, Tullyree,
   who wrote poems at night.
   Assumpta Meehan, Tonygarvey, saw many visions and was committed to the asylum.  
   Martha McGinn, of Emy, who swam Cornamunden Lough in one hour and a quarter.  
   Marita McHugh, Foxhole, whose sponge cakes won First Prize at Cloncaw Show.  
   Miss Harper, Corley, female problems rarely ceased, pleasant in ill-health.  
   Patricia Curley, Corlatt, whose joints ached and swelled though she was young,    who bore three children.
   Dora Heuston, Strananny, died in childbirth, aged 14 years,   last words ‘Mammy, O Mammy!’
   Rosie McCrudden, Aghabog noted for clean boots, winter or summer,    often beaten by her father.
   Maggie Traynor, Donagh, got no breakfasts, fed by the nuns, batch loaf with jam,    the best speller in the school.
   Phyllis McCrudden, Knockaphubble, who buried two husbands, reared five children,    and farmed her own land.
   Ann Moffett, of Enagh, who taught people to read and did not charge.
",Mary O'Donnell,"Social Commentaries,Gender & Sexuality,History & Politics,Mythology & Folklore,Heroes & Patriotism",F
245,"
from Aurora Leigh, First Book
                ","
In those days, though, I never analysed
Myself even. All analysis comes late.
You catch a sight of Nature, earliest,
In full front sun-face, and your eyelids wink
And drop before the wonder of ‘t; you miss
The form, through seeing the light. I lived, those days,
And wrote because I lived–unlicensed else:
My heart beat in my brain. Life’s violent flood
Abolished bounds,–and, which my neighbour’s field,
Which mine, what mattered? It is so in youth.
We play at leap-frog over the god Term;
The love within us and the love without
Are mixed, confounded; if we are loved or love,
We scarce distinguish. So, with other power.
Being acted on and acting seem the same:
In that first onrush of life’s chariot-wheels,
We know not if the forests move or we.
And so, like most young poets, in a flush
Of individual life, I poured myself
Along the veins of others, and achieved
Mere lifeless imitations of life verse,
And made the living answer for the dead,
Profaning nature. ‘Touch not, do not taste,
Nor handle,’–we’re too legal, who write young:
We beat the phorminx till we hurt our thumbs,
As if still ignorant of counterpoint;
We call the Muse ... ‘O Muse, benignant Muse!’–
As if we had seen her purple-braided head.
With the eyes in it start between the boughs
As often as a stag’s. What make-believe,
With so much earnest! what effete results,
From virile efforts! what cold wire-drawn odes
From such white heats!–bucolics, where the cows
Would scare the writer if they splashed the mud
In lashing off the flies,–didactics, driven
Against the heels of what the master said;
And counterfeiting epics, shrill with trumps
A babe might blow between two straining cheeks
Of bubbled rose, to make his mother laugh;
And elegiac griefs, and songs of love,
Like cast-off nosegays picked up on the road,
The worse for being warm: all these things, writ
On happy mornings, with a morning heart,
That leaps for love, is active for resolve,
Weak for art only. Oft, the ancient forms
Will thrill, indeed, in carrying the young blood.
The wine-skins, now and then, a little warped,
Will crack even, as the new wine gurgles in.
Spare the old bottles!–spill not the new wine.
By Keats’s soul, the man who never stepped
In gradual progress like another man,
But, turning grandly on his central self,
Ensphered himself in twenty perfect years
And died, not young,–(the life of a long life,
Distilled to a mere drop, falling like a tear
Upon the world’s cold cheek to make it burn
For ever;) by that strong excepted soul,
I count it strange, and hard to understand,
That nearly all young poets should write old;
That Pope was sexagenarian at sixteen,
And beardless Byron academical,
And so with others. It may be, perhaps,
Such have not settled long and deep enough
In trance, to attain to clairvoyance,–and still
The memory mixes with the vision, spoils,
And works it turbid.
                  Or perhaps, again,
In order to discover the Muse-Sphinx,
The melancholy desert must sweep round,
Behind you, as before.–
For me, I wrote
False poems, like the rest, and thought them true.
Because myself was true in writing them.
I, peradventure, have writ true ones since
With less complacence.
                    But I could not hide
My quickening inner life from those at watch.
They saw a light at a window now and then,
They had not set there. Who had set it there?
My father’s sister started when she caught
My soul agaze in my eyes. She could not say
I had no business with a sort of soul,
But plainly she objected,–and demurred,
That souls were dangerous things to carry straight
Through all the spilt saltpetre of the world.
She said sometimes, ‘Aurora, have you done
Your task this morning?–have you read that book?
And are you ready for the crochet here?’–
As if she said, ‘I know there’s something wrong,
I know I have not ground you down enough
To flatten and bake you to a wholesome crust
For household uses and proprieties,
Before the rain has got into my barn
And set the grains a-sprouting. What, you’re green
With out-door impudence? you almost grow?’
To which I answered, ‘Would she hear my task,
And verify my abstract of the book?
And should I sit down to the crochet work?
Was such her pleasure?’ ... Then I sate and teased
The patient needle til it split the thread,
Which oozed off from it in meandering lace
From hour to hour. I was not, therefore, sad;
My soul was singing at a work apart
Behind the wall of sense, as safe from harm
As sings the lark when sucked up out of sight,
In vortices of glory and blue air.
And so, through forced work and spontaneous work,
The inner life informed the outer life,
Reduced the irregular blood to settled rhythms,
Made cool the forehead with fresh-sprinkling dreams,
And, rounding to the spheric soul the thin
Pined body, struck a colour up the cheeks,
Though somewhat faint. I clenched my brows across
My blue eyes greatening in the looking-glass,
And said, ‘We’ll live, Aurora! we’ll be strong.
The dogs are on us–but we will not die.’
 
 
",Elizabeth Barrett Browning,"Relationships,Men & Women,Social Commentaries,Gender & Sexuality",F
246,"
from Aurora Leigh, Second Book
                ","

                                         'There it is!–
You play beside a death-bed like a child,
Yet measure to yourself a prophet's place
To teach the living. None of all these things,
Can women understand. You generalise,
Oh, nothing!–not even grief! Your quick-breathed hearts,
So sympathetic to the personal pang,
Close on each separate knife-stroke, yielding up
A whole life at each wound; incapable
Of deepening, widening a large lap of life
To hold the world-full woe. The human race
To you means, such a child, or such a man,
You saw one morning waiting in the cold,
Beside that gate, perhaps. You gather up
A few such cases, and, when strong, sometimes
Will write of factories and of slaves, as if
Your father were a negro, and your son
A spinner in the mills. All's yours and you,–
All, coloured with your blood, or otherwise
Just nothing to you. Why, I call you hard
To general suffering. Here's the world half blind
With intellectual light, half brutalised
With civilization, having caught the plague
In silks from Tarsus, shrieking east and west
Along a thousand railroads, mad with pain
And sin too! ... does one woman of you all,
(You who weep easily) grow pale to see
This tiger shake his cage?–does one of you
Stand still from dancing, stop from stringing pearls
And pine and die, because of the great sum
Of universal anguish?–Show me a tear
Wet as Cordelia's, in eyes bright as yours,
Because the world is mad? You cannot count,
That you should weep for this account, not you!
You weep for what you know. A red-haired child
Sick in a fever, if you touch him once,
Though but so little as with a finger-tip,
Will set you weeping! but a million sick . .
You could as soon weep for the rule of three,
Or compound fractions. Therefore, this same world
Uncomprehended by you must remain
Uninfluenced by you. Women as you are,
Mere women, personal and passionate,
You give us doating mothers, and chaste wives.
Sublime Madonnas, and enduring saints!
We get no Christ from you,–and verily
We shall not get a poet, in my mind.'
'With which conclusion you conclude' . .
                                    'But this–
That you, Aurora, with the large live brow
And steady eyelids, cannot condescend
To play at art, as children play at swords,
To show a pretty spirit, chiefly admired
Because true action is impossible.
You never can be satisfied with praise
Which men give women when they judge a book
Not as mere work, but as mere woman's work,
Expressing the comparative respect
Which means the absolute scorn. 'Oh, excellent!
'What grace! what facile turns! what fluent sweeps!
'What delicate discernment ... almost thought!
'The book does honour to the sex, we hold.
'Among our female authors we make room
'For this fair writer, and congratulate
'The country that produces in these times
'Such women, competent to ... spell.''
                                'Stop there!'
I answered–burning through his thread of talk
With a quick flame of emotion,–'You have read
My soul, if not my book, and argue well
I would not condescend ... we will not say
To such a kind of praise, (a worthless end
Is praise of all kinds) but to such a use
Of holy art and golden life. I am young,
And peradventure weak–you tell me so–
Through being a woman. And, for all the rest,
Take thanks for justice. I would rather dance
At fairs on tight-rope, till the babies dropped
Their gingerbread for joy,–than shift the types
For tolerable verse, intolerable
To men who act and suffer. Better far,
Pursue a frivolous trade by serious means,
Than a sublime art frivolously.'
*
Then I spoke.
'I have not stood long on the strand of life,
And these salt waters have had scarcely time
To creep so high up as to wet my feet.
I cannot judge these tides–I shall, perhaps.
A woman's always younger than a man
At equal years, because she is disallowed
Maturing by the outdoor sun and air,
And kept in long-clothes past the age to walk.
Ah well, I know you men judge otherwise!
You think a woman ripens as a peach,–
In the cheeks, chiefly. Pass it to me now;
I'm young in age, and younger still, I think,
As a woman. But a child may say amen
To a bishop's prayer and see the way it goes;
And I, incapable to loose the knot
Of social questions, can approve, applaud
August compassion, christian thoughts that shoot
Beyond the vulgar white of personal aims.
Accept my reverence.'
                  There he glowed on me
With all his face and eyes. 'No other help?'
Said he–'no more than so?'
                    'What help?' I asked.
'You'd scorn my help,–as Nature's self, you say,
Has scorned to put her music in my mouth,
Because a woman's. Do you now turn round
And ask for what a woman cannot give?'
'For what she only can, I turn and ask,'
He answered, catching up my hands in his,
And dropping on me from his high-eaved brow
The full weight of his soul,–'I ask for love,
And that, she can; for life in fellowship
Through bitter duties–that, I know she can;
For wifehood ... will she?'
                      'Now,' I said, 'may God
Be witness 'twixt us two!' and with the word,
Meseemed I floated into a sudden light
Above his stature,–'am I proved too weak
To stand alone, yet strong enough to bear
Such leaners on my shoulder? poor to think,
Yet rich enough to sympathise with thought?
Incompetent to sing, as blackbirds can,
Yet competent to love, like HIM?'
                            I paused:
Perhaps I darkened, as the lighthouse will
That turns upon the sea. 'It's always so!
Anything does for a wife.'
                      'Aurora, dear,
And dearly honoured' ... he pressed in at once
With eager utterance,–'you translate me ill.
I do not contradict my thought of you
Which is most reverent, with another thought
Found less so. If your sex is weak for art,
(And I who said so, did but honour you
By using truth in courtship) it is strong
For life and duty. Place your fecund heart
In mine, and let us blossom for the world
That wants love's colour in the grey of time.
With all my talk I can but set you where
You look down coldly on the arena-heaps
Of headless bodies, shapeless, indistinct!
The Judgment-Angel scarce would find his way
Through such a heap of generalised distress,
To the individual man with lips and eyes–
Much less Aurora. Ah, my sweet, come down,
And, hand in hand, we'll go where yours shall touch
These victims, one by one! till one by one,
The formless, nameless trunk of every man
Shall seem to wear a head, with hair you know,
And every woman catch your mother's face
To melt you into passion.'
                      'I am a girl,'
I answered slowly; 'you do well to name
My mother's face. Though far too early, alas,
God's hand did interpose 'twixt it and me,
I know so much of love, as used to shine
In that face and another. Just so much;
No more indeed at all. I have not seen
So much love since, I pray you pardon me,
As answers even to make a marriage with,
In this cold land of England. What you love,
Is not a woman, Romney, but a cause:
You want a helpmate, not a mistress, sir,–
A wife to help your ends ... in her no end!
Your cause is noble, your ends excellent,
But I, being most unworthy of these and that,
Do otherwise conceive of love. Farewell.'
'Farewell, Aurora, you reject me thus?'
He said.
        'Why, sir, you are married long ago.
You have a wife already whom you love,
Your social theory. Bless you both, I say.
For my part, I am scarcely meek enough
To be the handmaid of a lawful spouse.
Do I look a Hagar, think you?'
                          'So, you jest!'
'Nay so, I speak in earnest,' I replied.
'You treat of marriage too much like, at least,
A chief apostle; you would bear with you
A wife ... a sister ... shall we speak it out?
A sister of charity.'
                 'Then, must it be
Indeed farewell? And was I so far wrong
In hope and in illusion, when I took
The woman to be nobler than the man,
Yourself the noblest woman,–in the use
And comprehension of what love is,–love,
That generates the likeness of itself
Through all heroic duties? so far wrong
In saying bluntly, venturing truth on love,
'Come, human creature, love and work with me,'–
Instead of, 'Lady, thou art wondrous fair,
'And, where the Graces walk before, the Muse
'Will follow at the lighting of the eyes,
'And where the Muse walks, lovers need to creep
'Turn round and love me, or I die of love.''
With quiet indignation I broke in.
'You misconceive the question like a man,
Who sees a woman as the complement
Of his sex merely. You forget too much
That every creature, female as the male,
Stands single in responsible act and thought
As also in birth and death. Whoever says
To a loyal woman, 'Love and work with me,'
Will get fair answers, if the work and love
Being good themselves, are good for her–the best
She was born for. Women of a softer mood,
Surprised by men when scarcely awake to life,
Will sometimes only hear the first word, love,
And catch up with it any kind of work,
Indifferent, so that dear love go with it:
I do not blame such women, though, for love,
They pick much oakum; earth's fanatics make
Too frequently heaven's saints. But me, your work
Is not the best for,–nor your love the best,
Nor able to commend the kind of work
For love's sake merely. Ah, you force me, sir,
To be over-bold in speaking of myself,–
I, too, have my vocation,–work to do,
The heavens and earth have set me, since I changed
My father's face for theirs,–and though your world
Were twice as wretched as you represent
Most serious work, most necessary work,
As any of the economists'. Reform,
Make trade a Christian possibility,
And individual right no general wrong;
Wipe out earth's furrows of the Thine and Mine,
And leave one green, for men to play at bowls;
With innings for them all! ... what then, indeed,
If mortals were not greater by the head
Than any of their prosperities? what then,
Unless the artist keep up open roads
Betwixt the seen and unseen,–bursting through
The best of your conventions with his best
The unspeakable, imaginable best
God bids him speak, to prove what lies beyond
Both speech and imagination? A starved man
Exceeds a fat beast: we'll not barter, sir,
The beautiful for barley.–And, even so,
I hold you will not compass your poor ends
Of barley-feeding and material ease,
Without a poet's individualism
To work your universal. It takes a soul,
To move a body: it takes a high-souled man,
To move the masses ... even to a cleaner stye:
It takes the ideal, to blow a hair's breadth off
The dust of the actual.–ah, your Fouriers failed,
Because not poets enough to understand
That life develops from within.–For me,
Perhaps I am not worthy, as you say,
Of work like this! ... perhaps a woman's soul
Aspires, and not creates! yet we aspire,
And yet I'll try out your perhapses, sir;
And if I fail ... why, burn me up my straw
Like other false works–I'll not ask for grace,
Your scorn is better, cousin Romney. I
Who love my art, would never wish it lower
To suit my stature. I may love my art,
You'll grant that even a woman may love art,
Seeing that to waste true love on anything,
Is womanly, past question.'
 
 
",Elizabeth Barrett Browning,"Relationships,Men & Women,Social Commentaries,Gender & Sexuality",F
247,"
from Aurora Leigh, Third Book
                ","
Why what a pettish, petty thing I grow,–
A mere, mere woman,–a mere flaccid nerve,-
A kerchief left out all night in the rain,
Turned soft so,–overtasked and overstrained
And overlived in this close London life!
And yet I should be stronger.
                          Never burn
Your letters, poor Aurora! for they stare
With red seals from the table, saying each,
'Here's something that you know not.'
 
",Elizabeth Barrett Browning,"Relationships,Men & Women,Social Commentaries,Gender & Sexuality",F
387,"
                    Washing the World
                ","



with a mournful but driving feel, in Bm, 2/2 time



in the dark, in the bitter wind
listen to a dream
grandmothers stand
shoulder to shoulder, on the rim of a hill
bend as one, and grasp one thing together
ask them, in the dream world, why
do they cry? they will show you in reply
their shawls of many colours, spread these wings
sweep you in, teach you how
once a year, in the dark of the year we wash
the whole world in a day—for one day, we cry until they're home, until they all are home 
from one dawn to the next mourning
for the broken wailing for regrets
love lost, wrong words, wrong actions
unbalanced moments and all the cracks between heart
and heart, parent and child
lover and beloved friend, nation and nation
creature, and creature of another kind
for what we choose and what we neglect to choose
for what we wish we'd known
for each hand unclasped tongue unbridled
one whisper falling short of hearduntil they're home, until they are all home 
the bread far from   the hunger                                         the apology
the confusion            the broken road 
       
these things we gather in this blanket
bone and sand and sage
we wash the world, between us
hold this blanket, fill it with our tears
and when we have cried
from one dawn to the next
then we will rise, and we will dance until they're home, until they all are home 
lay your hands upon the truth of beauty's loss
heavy, soft as moss, this blanket
full of tears and dust and dying
becomes ocean cradle, healing, dark
the promise, washed clean by our sorrow
today crying out, as we're birthing tomorrow
not so much redemption
as the law of moon and season
calls for justice
one day, the lawmakers must
exit their echoing halls, fall in
with the grandmothers dancing
carry it                 cry it clean until they're home, until they are all home 
until light through their bodies
translates to rainbows hung over the land
until light through their bodies
translates to rainbows strung over this land
until light through our bodies
translates to rainbows shining over our land until we're home, until we all are home
",Anna Marie Sewell,"Living,Sorrow & Grieving,Relationships,Family & Ancestors,Social Commentaries,Crime & Punishment,Gender & Sexuality",F
402,"
                    The Pain Reliever
                ","
Silence is the sound the knife makes
slitting the skin.
Can you identify my weakness,
a pricking sensation
and numbness in one limb?
Can you hold this tongue?
Tell me, what is the function
of meticulous courage.
You are the most yourself
when you are in the motion.
One can be quick and too quick.
I have a stomach too.
It gets hungry.
If I be of necessity
opportunity,
if there be the slightest chance of success,
why have a mind, if?
Does that scream in the night across the alley
beg an answer? Are we crowning
into the sludge of an injury and its repair?
An elephant is larger and stronger than a horse;
but it is not preferred as a beast of burden.
Strength is a wee umbrella
in the storm.
This the friction sound heard
in inspiration, expiration, or both.
For convenience of description,
blood is bright red and frothy.
Have you earned the privilege
of making mistakes?
There really is no sex in science.
The nomenclature lifts
delicate subjects up from the plane
in which language places them.
Man has more strength,
woman, more endurance.
The hands and the instruments
are the chief sources of danger.
This fever.
There is no subject on which so much has been written
                                                                             and so little known.
",Carrie Olivia Adams,"Living,Health & Illness,Activities,Jobs & Working,Arts & Sciences,Sciences,Social Commentaries,Gender & Sexuality",F
404,"
                    Ash Weed
                ","
I am so done with feeling
Xmas Amaryllis grow
in places where thralls go free
I am not quite enough
for the woodland; promoting myself again
after all accused men have been named
In Casablanca I wait for livestock
to come through luxe doors
for thighs to grow less through absorption
My killer is not going to be invited to this
Ornamenting party and I am blue daisies
casting O’s wide in anointment
Now that he’s gone I am free to torch down the
Valley                        la spiaggia of pure
Purple                         small neck in hand
",Laura Marie Marciano,"Social Commentaries,Crime & Punishment,Gender & Sexuality",F
412,"
                    More Experiments with the Mysterious Property of Animal Magnetism (1769)
                ","
Finding myself in a mesmeric orientation,
before me appeared Benjamin Franklin,
who magnetized his French paramours
at dinner parties as an amusing diversion
from his most serious studies of electricity
and the ethereal fire. I like thinking about
how he would have stood on tiptoe to kiss
their buzzing lips and everyone would gasp
and clap for the blue spark between them.
I believe in an honest and forthright manner,
a democracy of plain speech, so I have to
find a way to explain I don’t care to have sex
anymore. Once I was a high school teacher
and there was a boy who everyday came in late,
who only came to school at all to sell drugs
out of his backpack, upon which he laid
his head like a pillow and closed his eyes
while I pointed at a chart diagramming
the anatomy of a sparrow. The vice principal
was watching and taking notes as I taught
this class, so I slid the bag from under
his cheek, as if not to wake him, wrapped
his fingers around a pen. I was trying
to be a gentle mother and also trying
to show I was in control of an unstable
situation. The boy, also trying to be
in control of himself, walked so slow
to my desk and we stood to watch him
push everything—binders, piles of ungraded
papers, a beaker of red pens to the floor.
He was so calm. How do you like it when I touch your things. I do not like it. I live
in a house with many blue mason jars,
each containing a feather collection or starfish
collection or vertebrae collection, and also
there is a fully articulated fetal alligator skeleton.
Each window is pressed by the design
of a sweet-gum branch, all the little orange
and red stars of its leaves, you can’t see
the perfect geometry this close, just haphazard
parabolas, but beneath the foundation
the roots mirror the branching. I have
a chart of this to pull down. The view is flat
and so quiet on the inside. Have I been
forthright yet? What I want to know is
what happens if I decide to never have sex
again? Or more precisely, can I decide
to not have sex again and still be kind?
And be a joy to others? I should mention
I am a wife. I should mention I was told
my sole purpose is to be joy to others.
The sidewalks outside are very full of people
and when I look at them I feel hopeless.
Benjamin Franklin was so jolly with his kite
and his key and his scandalous electricity.
He was so in love with women and drink
and democracy. Before I was this way,
I was not a house, I was just a jar and what
I wanted was to be broken. A cool trick
you can do that I once showed a class is crank
a wheel covered in felt against another felt
wheel. Static bristles and sparks and makes
your hair stand on end. But hook it to
a Leyden jar and the electricity fills up
in there, invisible as air. Becomes a glass
battery, until you too much the thing, then
wow! broken glass everywhere. I remember
wanting that. Do I have to always want that?
My house is blue and quiet. I can hardly
hear the squirrel in my sweet-gum tree
dancing like a sunbeam to sing his riddles:
“A house full, a hole full, but you cannot
gather a bowl full.” The air of everywhere
is wet with electric fluid, you can’t even tell,
but pop, whiz, everywhere. “In this
field,” Ben says, “the soul has room
enough to expand, to display all of her
extravagances.” The sweet gum has 10,000
sticky, spiky seed balls. They start green
but grow black and fall for want of
a barren season. They look like sea urchins.
I call them tree urchins and think it’s
a funny joke. I don’t tell it to anyone,
as I am tired of being told what is not.
Such a secret, I know, is an extravagance,
and I like best how it’s an extravagance so
small you must keep it in a jar with others
of its kind for it to ever mean anything at all.
",Kathryn Nuernberger,"Living,Life Choices,Activities,School & Learning,Arts & Sciences,Sciences,Social Commentaries,Gender & Sexuality",F
439,"
                    The Amazon River Dolphin
                ","
The sudden pink shape
surfacing in black-water lagoons
shocked explorers.
All dolphins share man’s
thumb and fingerbones,
but these also wear his flesh.
When the river overflows
and floods the varzea, 
these dolphins travel miles
to splash in the shallows
amongst buttress-roots of giant
rainforest trees.
The waters abate, trapping fish,
dolphins never.
 
A lamp burning dolphin oil
blinds. At night
the pink-flesh contours melt and blur.
The flipper extends the hidden hand
to lift its woman’s torso
to the land. An Eve,
born each night from the black Amazon,
roams the dark banks for victims
to draw to the water and death.
Taboo to the Indians,
this pink daughter of the river’s magic
always looks, to explorers,
like she’s smiling.
 
",Linda Rodriguez,"Nature,Animals,Social Commentaries,Gender & Sexuality,History & Politics",F
463,"
                    Flu, 1962
                ","
Shadows lengthened while we sat stuck in traffic just beyond San Rafael. Headlights had begun to flare in the cool dusk. The hum of the car's engine lulled me, and I put my forehead against the glass, looking out over a darkening landscape. We were headed to the Bishop's Ranch, a weekend retreat for Episcopal Young Churchmen in hilly country that would someday produce superlative wines with garnet hues that stain the inside of a glass. I was queasy from the lurching of the car, the stops and starts, the smell of exhaust. Though trembling with cold, I was too shy to ask the lady, the mother of one of the other girls, to turn on the heater. I imagined pale pink blossoms on the Japanese plum, apple trees laden with white flowers, and north of Sebastapol the vibrant yellow of daffodils on slender, pleated stems. That night I slept in a single bunk made up with thin sheets and blankets.
 
A warm sun the next day restored me, but in the evening, seated by the fire that crackled in the fireplace of the big lodge, I felt flushed. Our recently ordained curate (we were not to know he was gay till some years later) had asked me to bring my guitar, and now he wanted me to sing about the girl who decides to sleep next to her mother her whole life long instead of falling for an unfaithful suitor. I sang; we all sang together. Young Father W. had a wonderful tenor voice. His smile reassured me, but now I was tired and, earlier than the others, I decided to return to the dorm.
 
In that clear March night, the sky gleamed like black ink and stars blazed, bright and alive. Walking downhill, guitar in hand, I suddenly stumbled with dizziness, and the slope swam before me. “Hold on, hold on,” I told myself as I nearly fell onto the dew-slick lawn. For a moment I could sense myself floating away from my body. Back in the dorm, I crawled into bed and lay shuddering with cold, bones aching. The room seemed to spin. I wanted to be home, but the thought of facing my mother filled me with terrible dismay. I knew the blue failure notice mailed by the school would have arrived.
 
Sure enough, it lay open on the dining table when I got home the following afternoon. A Sunday fog, hardly a mist, had blown in from the bay and was gathering in the eucalyptus across the ravine. The house was steamy. A basket of clean laundry occupied a chair atop a stack of San Francisco Chronicles. Mom sat at the table sewing, but I knew she was scowling. I thought it wise to look industrious, so I began to fold towels and pillowcases. “What I want to know,” began my mother, “is whether you have any ambition? Obviously, you will never get to college. What do you expect to do with your life?” She paused, and I shrugged. “Go ahead and shrug. Do you think your girlfriend is going to take care of you? That won’t last long. And why is it you only fall in love with girls? Well, I suppose you want to be a boy.” What an unutterable failure I am. I retreated, burned by her ferocious, upright anger. “Oh, yes, I’m sure you’re sick! But you will go to school tomorrow!”
 
That night, wracked again with cold, unable to stop my trembling, I sought my parents’ bed, stood moaning till Mom woke and let me under the covers, where she tried to warm me with her body. Weeks later we learned that one of my classmates, a robust girl who shot baskets as well as any boy, had succumbed to the illness and died. That night, my mother placed her hand on my forehead–her smooth palm, her touch, gentle–and said to my barely awake dad, “Our daughter has a raging fever.” Like a miracle, I was still her child. Comforted, I slept.
",Janice Gould,"Living,Health & Illness,Love,Realistic & Complicated,Relationships,Family & Ancestors,Social Commentaries,Gender & Sexuality",F
