,Title,Poem,Poet,Tags,gender
73,"
                    Womanhood
                ","
When I was three,
a tsunami hit town.
“Daddy, Daddy, save me,
don’t let me drown.”
He saved me
and my common-type dolls.
 
When I was sixteen,
another tsunami hit town.
I cried to my daddy,
“Daddy, Daddy, please save me,
don’t let me drown!”
But he let go of my hand!
 
I still dance
to what broke on my life.
 
",Juliet Kono,"Sorrow & Grieving,Family & Ancestors",F
88,"
                    My Mother upon Hearing News of Her Mother’s Death
                ","
She opened her mouth and a moose came out, a donkey, and an ox—out of her mouth, years of animal grief. I lead her to the bed. She held my hand and followed. She said, Chết rồi, and like that, the cord was cut, the thread snapped, and the cable that tied my mother to her mother broke. And now her eyes red as a market fish. And now, she dropped like laundry on the bed.
 
The furniture moved toward her, the kitchen knives and spoons, the vibrating spoons—they dragged the tablecloth, the corner tilting in, her mouth a sinkhole. She wanted all of it: the house and the car too, and the flowers she planted, narcissus and hoa mai, which cracked open each spring—the sky, she brought it low until the air was hot and wet and broke into a rain—
 
the torrents like iron ropes you could climb up, only I couldn’t. I was drowning in it. I was swirled in. I leapt into her mouth, her throat, her gut, and stayed inside with the remnants of my former life. I ate the food she ate and drank the milk she drank. I grew until I crowded the furnishings. I edged out her organs, her swollen heart. I grew up and out so large that I became a woman, wearing my mother’s skin.
",Cathy Linh Che,Sorrow & Grieving,F
113,"
                    His Mother's Hair
                ","
The last time he cut his mother’s hair
     the rude morning sun
left no corner of her kitchen private,
     the light surgically clean
where it fell on his scissors.
     Her hair fell in a blonde circle
on the lake blue tile—smell of coffee
     and cinnamon; her laughing
shook her head, Hold still, he said,
     his hands surfeit with the curl
and softness of her hair.
 
     Three weeks after her death,
a stranger entered the salon
     and settled in the chair.
She had the color and shape
     of his mother’s hair,
and when he sunk his hands in it,
     the texture, even cowlicks,
individual as freckles—same.
     Twice he had to leave the room,
and twice, he returned—still,
     when he touched her hair, it blurred.Hold still, he said, hold still.
 
",April Ossmann,Sorrow & Grieving,F
114,"
                    Dust to Dust
                ","
Nevermind that keeping ashes
     on the mantel feels ghoulish,
and comically impractical:
 
not just another thing,
     a miniature memento urn, to dust,
but dust to dust—
 
I dread the conversational
     Hara-kiri, not, that’s what’s leftof my brother, but, he died of suicide:
 
the chasm of silence following the leap—
     so the cremains stay
in the office closet till they migrate
 
through no will of their own
     to a moving box
I haven’t unpacked and likely won’t.
",April Ossmann,"Death,Sorrow & Grieving",F
128,"
                    Mom Betty Addresses the Nature of Proportion
                ","



After “She was the song of my dark hour,” a photograph by Paul Tañedo



I woke up
and I was old—
 
It’s hard to judge
if this new country
 
was worth
its costs—
 
Fil and Eileen
educated themselves—
 
They blessed me
with their happiness—
 
Roy and Glen
lost themselves
 
to a car accident
and something worse
 
(that I will not reveal
even for a poem)—
 
When I see myself
reflected in a mirror
 
I turn away to hide
both my eyes, all of my self—
 
when half of your
children are destroyed
 
the half who flourish
cannot compensate
 
exactly
                        as if
 
a heart breaksexactly down the middle.
 
",Eileen R. Tabios,"Living,Growing Old,Parenthood,Sorrow & Grieving,Love,Heartache & Loss,Relationships,Family & Ancestors",F
159,"
                    Summer
                ","



for Max Ritvo



I
 
Three weeks until summer and then—what?
Midsummer’s gravity makes our heads spin
each hour a gilt thread spool, winding through
the second hand, gossamer fin de semaine,fin de siècle, fin slicing the water
of the too-cold-to-breathe bay, molten silver,
then receding as if we hadn’t seen it,
sultan of so long, see you tomorrow.
               Dead man’s fingers, lady’s slippers, a seal
who swims too close—too close for what? The needle
swerves. Our element chooses us. Water
fire, air, earth—the rosebush, Lazarus,
hot to the touch, gold reticulate, is love’s
bull’s-eye, attar rising from the rafters.
 
 
II
 
If I could make it stop I would. Was it
the crocodile Hook feared, or was it time?
The hour’s arrow never misses, the gnomon,
glinting, cuts the Day-Glo sun to pieces.
In the ultraviolet palace of the Mermaid King
his girls wear scallop shells, one for each year
on their turquoise tails. Even they have birthdays,
why not you? Death, hold your ponies with one
hand, and stay awhile. On my desk, the lion’s
paw lamps scavenged from the winter beach,
its poppy-colored shells like the lit scales
of an enormous Trojan fish … teeth chattering,
its metronome time bomb tsk tsk—
when is giving up not giving in?
 
 
III (child’s pose)
 
When Alice pulled the stopper, did she get
smaller, or did the world get larger? In
the bath, your nose bleeds a bouquet of tissue
roses, white stained red—adolescence
is to overdo it, but really? Thirty
stories up, our birds’-eye view is
the hummingbird tattoo on your bare head,
wings beating, too tiny and too big to see,
your wire-thin profile drawn upright, bones
               daring the air, marionette running on
the brain’s dark marrow, tungsten for the fireflies’
freeze tag. Due south, the Chrysler Building’s gauntlet
holds a lit syringe. We do and do not change.
Let me go from here to anywhere.
 
 
IV
 
That’s it for now. And so we turn the page
your poems standing in for you, or—that’s
not it, what’s left of you, mediating
between what you’d call mind and body
and I, by now biting my lip, call grief,
               the lines netting the enormous air
like silver threads, the tails of Mr. Edwards’s
spiders with which they sail from ledge to branch
“as when the soul feels jarred by nervous thoughts
and catch on air.” Pace. Your trousers worn
to mouse fur dragging on the stoop, your hip
prongs barely holding them aloft, the past
a phaeton, its sunlit reins bucking
at before and after, but there is no after.
 
 
V
 
Or is there? For once, when you rock back
on the chair I don’t say don’t do that,
forelegs lifting, hooves pawing the air—
Every departure’s an elopement,
the shy cat fiddling while Rome sizzles,
spoon mirror flipping us upside down.
               Son of Helios, rainbow fairy lights
blazing, when one light goes out they all
go out. At the top of the dune, the thorny
crowns of buried trees, their teeter-totter
branches a candelabra for the spiders’
silvery halo of threads. What a terrible
business it is, saying what you mean.
               Speak, sky, the horizon scored by talons.
",Cynthia Zarin,Sorrow & Grieving,F
160,"
                    Japanese Poems
                ","
Between the bent boughs
of the splayed sumac the silver
owl rests his head.
 
The perimeter
left by your absence is long
to walk in one day.
 
The angel in her
credenza of extreme beauty
dogs swim the river
 
I look for my heart
by the lamp where the light is
skitter in the wet black leaves
",Cynthia Zarin,"Sorrow & Grieving,Trees & Flowers",F
192,"
                    ain't that easy
                ","
when i look at my life
i feel like bursting into tears
marriage
and mental illness
vintage washed
michael jackson graphic
spiritual disco grieving ritual
sell your body
to your horse-eyed past
little fictions
somebody got to sing
and somebody
got to play the squaw
last time i saw him
last time i saw my honey
buried your dead
lack of afro
exit wounds
cut off whole limbs
of generational desire
the death of cleopatra
hell or high water
get some fucking
love in your life girl
ghost chant
you’ve got to die
if you want to live
amidst and against 
the things we are 
rubbed into the cloth
wrapped around their faces
now white men
are black men too
the ways
we can’t say no
i call you queen
not as a term of endearment
but as a reminder
our histories meet
on the inside
we all be black moses
slave for the river
same river twice
sometimes
have to emphasize
the brown part
hey there beautiful brown girl
we don't usually change
until things are so painful
that we must
 
",erica lewis,"Living,Life Choices,Separation & Divorce,Sorrow & Grieving,Love,Break-ups & Vexed Love,Arts & Sciences,Music,Social Commentaries,Race & Ethnicity",F
202,"
                    [I would drive to your grave]
                ","
I would drive to your grave but your grave is the crash
the froth foam pebbles small rocks the sand smoothed
soothed each rising each leaving tide you lie in the ocean
the water in the waves your home the stern the back
the wake of a boat those curled white lines of leaving
I would visit your grave but your grave is a single blue
afternoon of passing isles the green and granite shores
I would come to your grave but your grave is the fire
oh mother it is cold tonight and I have no heart
for this burning for the fine sift of ash which is all
that comes back all that comes after I would visit
your house but your things are missing are missing
your touch as your eyes failed I brought you lights
and I would see again that brightness I would drive
to your grave but I am your grave your marker
oh mother I am your stone
 
",Leslie Harrison,"Living,Death,Sorrow & Grieving,Relationships,Family & Ancestors",F
205,"
                    [That]
                ","
That this is the morning in which nothing much
that the sky is still there and the water dresses
accordingly that only at night does the water rest
vanish from sight that the stars are too small too far
to register there that all our names too are writ
invisibly on water that abiding requires more hope
than I can possibly acquire that hope is not a thing
with feathers that hope is a thing with a fist a thin
crust sketched over oceans that hope is what despair
uses for bait come in hope says the water's fine
that hope is the blood with which you write letters
that start dear sea dear ocean stop asking so fucking
much that hope is a telegram delivered by men
in pairs men in uniform a telegram that says missing
stop that says once again presumed lost stop
 
",Leslie Harrison,"Living,Death,Sorrow & Grieving",F
223,"
                    Certainty
                ","
Perhaps you can tell children that the world is always a more beautiful place than you can suppose,
and then you release them into their future, the black row of trees in the distance. 
She died suddenly in midwinter, in the same bed in which her husband died years earlier; it still sagged on his side. Her second husband remained in Japan with his first family. 
She used to say, what my three girls do when they are on their own is unimaginable to me. 
My mother is the middle daughter, a garden of inaudible tunes. The four of them lived in a mean house in Seoul. 
One yellowing picture of my grandmother remains, and her face turns away from the camera, as the rabbit senses the hound; 
she was said to be a solitary eater, an inner thing. What did she promise the world that she wasn’t able to make good on? 
A child who abruptly feels the frontiers of experience assert themselves in her: at the funeral my mother cries so hard she can’t feel her hands for days, 
it explains how she scratches herself raw, meaningless. 
You have always believed these are your themes: fate, the negative pleasures of dipping oneself in acid. 
You think it will rescue you from your simplicity, remarks my mother from the doorway, but art is never the ace in the hole. 
I am not a stupid child. I am not even a child any longer, with her hesitant, then terrible certainty, that loss is tragic, not only pointless. 
When she is lonely, my mother cooks; and when she is happy, she knows to hide it. 
",Sandra Lim,"Living,Coming of Age,Sorrow & Grieving,Relationships,Family & Ancestors",F
234,"
                    Elegy
                ","
I saw you fall to the ground.
I saw the oaks fall.  The clouds collapsed.
I saw a wildness twist through your limbs
and fly off.  The river fell, the grasses fell. 
The backs of six drowned cattle
rose to the surface ice—nothing moved.
But a wind touched my ankles when the snow began.
You left that night and we stayed,
our arms braced with weight.  What power
there was was over.  But I switched on the light
by the porch to see if anything was falling—
and it fell, a few glints in the air,
catching sun although there was no sun,
and the long descent over hours, all night,
seemed like years, and we buried our faces
in what came to rest on the ground
or moved our feet over it, effortless,
as nothing was in our lives, or ever will be.
 
",Joanna Klink,"Living,Death,Health & Illness,Sorrow & Grieving,Relationships,Friends & Enemies,Nature,Weather",F
237,"
                    No People in It
                ","
                        for JA
 
I flutter in order
to enter
the phrase’s silver.
 Jackdaws have launched nearby
this time, silk green and ripped,
the movement a kind of chafing thinking.
 
Oh he’s marking
terrain right there—
right there with his
 
unmade song. The shadow kids
whip fronds, froth air up
into heat, pure and simple
 
“violence of the eye.” Wild iris
ink, wet in the margin’s stage.
Well, hadn’t this testament begun
 
to carry its chime in stripes?
That’s when I knew he was going away
from me, towards the sound.
 
Like the ring on the table
it can’t be decentered.
Rim around the recent.
 
Ashes, ashes,
A bright tangled seeming.
 
",Emily Skillings,"Living,Death,Sorrow & Grieving,Arts & Sciences,Poetry & Poets",F
261,"
                    Hoping to Hear from a Former Friend
                ","
Is it you on the other end of the line
     hesitant to speak to me, pausing for a moment
to register my hello so you know my number
     stayed the same, my last name remains mine?
Though my voice isn’t young as when we last spoke,
     don’t you hear a familiar timbre?
Still you hesitate so as not to startle me
     after all this time. Dots string out like an ellipsis
in the endless sentence of your absence.
     I hear static-filled ticking, then
a friendly stranger mispronounces my name.
     Recognizing a pitch to sell something
and feeling foolish, I hang up quickly.
     Won’t you ever break your long silence?
Sorrow and anger keep my line open to you.
 
",Margaret Hasse,"Living,Sorrow & Grieving,Relationships,Friends & Enemies",F
276,"
                    Patricide Epistle
                ","
II. 
The first time I had you killed
I made you a hero of the Vietnam War. 
The third grade social studies textbook said
young foreign boys hid grenades 
during corner games, seamstresses doubled
as spies. Why wouldn't you have died
on those streets, clutching my mother's
photo with your thumb pressed cold 
against her belly, wishing you'd had a chance 
to propose, hoping for a girl? But that war
ended before I was born. Next,
I had a drunk driver end you. Said I visited him
in prison to spit in his face. Forgave him
for a speech during health class. In eighth grade,
I made you die young of natural causes,
so I could teach a grieving classmate
the proper way to mourn. 
",Jonterri Gadson,"Living,Sorrow & Grieving,Relationships,Family & Ancestors",F
387,"
                    Washing the World
                ","



with a mournful but driving feel, in Bm, 2/2 time



in the dark, in the bitter wind
listen to a dream
grandmothers stand
shoulder to shoulder, on the rim of a hill
bend as one, and grasp one thing together
ask them, in the dream world, why
do they cry? they will show you in reply
their shawls of many colours, spread these wings
sweep you in, teach you how
once a year, in the dark of the year we wash
the whole world in a day—for one day, we cry until they're home, until they all are home 
from one dawn to the next mourning
for the broken wailing for regrets
love lost, wrong words, wrong actions
unbalanced moments and all the cracks between heart
and heart, parent and child
lover and beloved friend, nation and nation
creature, and creature of another kind
for what we choose and what we neglect to choose
for what we wish we'd known
for each hand unclasped tongue unbridled
one whisper falling short of hearduntil they're home, until they are all home 
the bread far from   the hunger                                         the apology
the confusion            the broken road 
       
these things we gather in this blanket
bone and sand and sage
we wash the world, between us
hold this blanket, fill it with our tears
and when we have cried
from one dawn to the next
then we will rise, and we will dance until they're home, until they all are home 
lay your hands upon the truth of beauty's loss
heavy, soft as moss, this blanket
full of tears and dust and dying
becomes ocean cradle, healing, dark
the promise, washed clean by our sorrow
today crying out, as we're birthing tomorrow
not so much redemption
as the law of moon and season
calls for justice
one day, the lawmakers must
exit their echoing halls, fall in
with the grandmothers dancing
carry it                 cry it clean until they're home, until they are all home 
until light through their bodies
translates to rainbows hung over the land
until light through their bodies
translates to rainbows strung over this land
until light through our bodies
translates to rainbows shining over our land until we're home, until we all are home
",Anna Marie Sewell,"Living,Sorrow & Grieving,Relationships,Family & Ancestors,Social Commentaries,Crime & Punishment,Gender & Sexuality",F
399,"
                    Gift
                ","



''At one time, I dreaded everything I was making.' 
Yayoi Kusama (Winter 1999)



First it is just a measling of the tablecloth
but soon it spills
in all colours, all gaiety:
                           desk        floor        lamp        flowers
          tatami, my underwear
 
then dares to paw across
         Mother’s face, so
smilingdelirious.
 
Twenty years
in a twelve square metre room
with the thuds of tennis balls
the only music
 
tells me
that suffering
is necessary
 
and more powerful
than healing
 
and I wish
to cover all territory
for once—hospital beds, chinaware,
bed linen, your bland skin
 
with the pattern and fear of all my dots—
by the old wharf on Naoshima
I make my yellow wartime pumpkins.
 
I know my home is not a country anymore,
just a festering colony of the mind:
 
these shuddering trees
that come and talk to me each night,
the whispers of the white nurses
and the star-dances
of my Japanese kaleidoscope.
Come haunt me still. Do what you may.
I won’t return. I’m not afraid.
",Jennifer Wong,"Living,Health & Illness,Sorrow & Grieving,Relationships,Home Life",F
421,"
                    When Black Men Drown Their Daughters
                ","
When black, men drown. They spend their whole lifetimes
justifying the gall of springing the trap, the inconvenience
of slouched denim, of coupling beyond romance or aim.
All the while, the rising murk edges toward their chins.
Hurriedly, someone crafts another scientific tome, a giddy
exploration of the curious dysfunction identifying black
men first as possible, then as necessary. Elegant equations
succumb to a river that blurs quotient and theory, rendering
them unreadable, and the overwhelm easily disappears
the men, their wiry heads glistening, then gulped. All that’s
left is the fathers’ last wisdom, soaked wreckage on silver:Girl, that water ain’t nothing but wet. I’m gon’ be alright.
 
When black men drown, their daughters turn to their mothers
and ask What should I do with this misnamed shiver in myleft shoulder? How should I dress in public? They are weary
of standing at the shore, hands shading their eyes, trying
to make out their own fathers among the thousands bobbing
in the current. The mothers mumble and point to any flailing
that seems familiar. Mostly, they’re wrong. Buoyed by church
moans and comfort food of meat and cream, the daughters
try on other names that sound oddly broken when pressed
against the dank syllables of the fathers’. Drained, with justforward in mind, they walk using the hip of only one parent.
They scratch in their sleep. Black water wells up in the wound.
 
When black men drown, their daughters are fascinated with
the politics of water, how gorgeously a surface breaks
to receive, how it weeps so sanely shut. And the thrashing
of hands, shrieking of names: I was Otis, I was Willie Earl,they called me Catfish. Obsessed by the waltzing of tides,
the daughters remember their fathers—the scorch of beard
electrifying the once-in-a-while kiss, the welts in thick arms,
eyes wearied with so many of the same days wedged behind
them. When black men drown, their daughters memorize all
the steps involved in the deluge. They know how long it takes
for a weakened man to dissolve. A muted light, in the shape
of a little girl, used to be enough to light a daddy’s way home.
 
When black men drown, their daughters drag the water’s floor
with rotting nets, pull in whatever still breathes. They insist their
still-dripping daddies sit down for cups of insanely sweetened
tea, sniffs of rotgut, tangled dinners based on improbable swine.
The girls hope to reacquaint their drowned fathers with the concept
of body, but outlines slosh in drift and retreat. The men can’t get
dry. Parched, they scrub flooded hollows and weep for water
to give them name and measure as mere blood once did. Knocking
over those spindly-legged dinette chairs, they interrupt the failed
feast and mutter Baby girl, gotta go, baby gotta go, their eyes
misted with their own murders. Grabbing their girls, they spit
out love in reverse and stumble toward the banks of some river.
 
When black men drown their daughters, the rash act is the only
plausible response to the brain’s tenacious mouth and its dare: Yes, yes, open your ashed hands and release that wingless child. Note
the arc of the sun-drenched nosedive, the first syllable of the child’s
name unwilling from the man’s mouth, the melody of billow that
begins as blessed clutch. Someone crouching inside the father waits
impatiently for the shutting, the lethargic envelop, and wonders if
the daughter’s wide and realizing eye will ever close to loose him.
It never will, and the man and his child and the daughter and her
father gaze calmly into the wrecked science of each other’s lives.
The sun struggles to spit a perfect gold upon the quieting splash.
The river pulses stylish circles of its filth around the swallow.
 
 
",Patricia Smith,"Living,Death,Sorrow & Grieving,Love,Realistic & Complicated,Relationships,Family & Ancestors,Social Commentaries,Race & Ethnicity",F
436,"
                    Task Force
                ","
Moved all the way here to watch
television alone, swallowed by the grim
 
news grinning. Fuck a five year plan, first
one passes through Tiananmen the gate
 
of heavenly peace, emptied public square finery
in summer, purple cupping red azaleas
 
Happy birth upon a time, Nation!
Reveling in my love for him coquettish
 
worried, approaching paranoia
for the home country removed that June
 
The cropped photo best dilated
in our pockets black and white
 
It was a long hard road continuously reading
analysis metrics, my father knew a guy
 
worked in sales, was there and saw
them roll in like nothing else
 
Black pillars to the effective dispersal
 
I felt nothing pulling
from the airport’s narrowing gate
In the photo we still get perfectly centered
 
Longview the idiot’s
consumption guide, naturally then
 
my love for was only
 
",Wendy Xu,"Living,Sorrow & Grieving,Social Commentaries,History & Politics,War & Conflict",F
448,"
                    Chief Totopotamoi, 1654
                ","



after Miller Williams



This is to say we continued. As though continuing changed us.
As though continuing brought happiness as we had known.
 
On a dry field without cover, his skin blistered raw in the sun.
Not one among us came, as though he had no relations.
 
What did we say to our brother? How could we leave him alone
while soldiers guarded his corpse as though precious to them?
 
One of the women, in darkness, crept to the field where he died,
prayed for him, covered him up. Dust over what was not dust.
 
We would have ventured out with her if we had loved ourselves less.
We had to think of our children, and he was not coming back.
 
How could we live with the silence, live with our grief and our shame?
Death did not heal what he suffered. He was making demands.
 
We did not want him to be there, asking the question he asked us,
changing the sound of his name. He had embarrassed us.
 
This is the memory we carried, avoiding the thought that he remained
face down among the charred grasses, holding the earth with his hands.
",Karenne Wood,"Living,Death,Sorrow & Grieving,Relationships,Family & Ancestors,Social Commentaries,History & Politics,War & Conflict",F
