,Title,Poem,Poet,Tags,gender
9,"
                    [""Hour in which I consider hydrangea""]
                ","
Hour in which I consider hydrangea, a salt or sand plant, varietal, the question of varietals, the diet of every mother I know, 5 pounds feels like 20, I have lost … I have lost, yes, a sense of my own possible beauty, grown external, I externalize beauty. Beauty occurs on the surface of plants; the sun darkens the skin of my child, he is so small, he is beautiful (I can see; it is obvious) and everything about him is beautiful. His hand swells from the bite [spread?] of some insect[’s] venom because he is small. He appears to feel nothing. He smashes his skull against the floor. He screams. I hold him in my lap on the kitchen floor in front of an open freezer, pressing a pack of frozen clay against his forehead. He likes the cold. I see; it is so obvious. Hydrangea. When I move, when I walk pushing my child’s stroller (it is both walking and pushing or hauling, sometimes, also, lifting; it is having another body, an adjunct body composed of errand and weight and tenderness and no small amount of power), I imagine I can feel this small amount of weight, this 5 pounds like 20, interfering with the twitch of every muscle in my body. As an object, a mother is confusing, a middle-aged mother with little spare flesh, I feel every inch of major muscle pulling against gravity and against the weight of my child, now sleeping. This is the hour for thinking hydrangea. Let no man look at me. I stop to brush the drowsy child’s little eye. His face. He barely considers his mother. I am all around him. Why should he consider what is all around him? Perhaps what is missing is a subtle power of differentiation. I am in, therefore, a time of mass apprehensions.
",Simone White,"Living,Parenthood,The Body,The Mind,Nature,Trees & Flowers",F
127,"
                    Real Complex Key Shifts
                ","
Toward summer or its dependence
On demarcations in the sandy vial
Some tree spelling astronaut onto a
Planet’s arm, it stopped making sense.
I am not an apothecary or a wave
Or a dog by the 15th hole, I am not
A light sparking a whole country’s demise.
I will never be a towel holding someone’s
Sunscreen while they wash it off in foreign
Seas. My hair goes up and down, it’s true
As it is I am not a bag of tea nor will I ever
Be exceptionally happy. Let the director
Know I was distressed by the construction
Noise, that I had no known allergies that
My parents convinced me I was wanted
And why wouldn’t you believe them.
If the earth when it opened dragged away
Our sense of faith, doubt was an
Invention I preferred to ignore in the
Manner of solicitations by mail.
",Amanda Nadelberg,"Living,The Mind,Religion,Faith & Doubt",F
175,"
                    Finding My Mother
                ","
Near dusk I find her in a newly mown field, lying still
and face down in the coarse stubble. Her arms
 
are splayed out on either side of her body, palms open
and turned upward like two lilies, the slender fingers
 
gently curling, as if holding onto something. Her legs
are drawn up underneath her, as if she fell asleep there
 
on her knees, perhaps while praying, perhaps intoxicated
by the sweet liquid odor of sheared grass.
 
Her small ankles, white and unscarred, are crossed
one on top of the other, as if arranged so in ritual fashion.
 
Her feet are bare. I cannot see her face, turned
toward the ground as it is,
 
but her long black hair is lovelier than I remember it,
spilling across her back and down onto the felled stalks
 
like a pour of glossy tar. Her flesh is smooth
and cool, slightly resistant to my touch.
 
I begin to look around me for something with which
to carry her back—carry her back, I hear myself say,
 
as if the words spoken aloud, even in a dream,
will somehow make it possible.
 
I am alone in a field, at dusk, the light leaving
the way it has to, leaking away the way it has to
 
behind a ridge of swiftly blackening hills. I lie down
on the ground beside my mother under falling darkness
 
and draw my coat over our bodies. We sleep there like that.
 
",Mari L'Esperance,"The Mind,Friends & Enemies",F
221,"
                    At the Other End of a Wire
                ","
When he called, there were 261 emotions
at play. I thought there were only wistfulness,
humiliation, and mere bitterness left, but lo,
I see now the brilliance in the numbers. 
Emotions 75 and 78 made me happy just to know
they existed. I felt less alone, more impervious. 
I was emboldened by the existence of 152. 
Though, how was I supposed to accept 9, 14, and 179?
We deserved better, distress and indigence aside. 
Something about 260 broke the spell inside me
and offered up a tiny shift: I opened my eyes in the fog
and tore off the surfaces of 261 and 4 with a great shout. 
",Sandra Lim,"Living,The Mind,Relationships,Men & Women",F
222,"
                    Amor Fati
                ","
Inside every world there is another world trying to get out,
and there is something in you that would like to discount this world. 
The stars could rise in darkness over heartbreaking coasts, 
and you would not know if you were ruining your life or beginning a real one. 
You could claim professional fondness for the world around you; 
the pictures would dissolve under the paint coming alive,
and you would only feel a phantom skip of the heart, absorbed so in the colors. 
Your disbelief is a later novel emerging in the long, long shadow of an earlier one—
is this the great world, which is whatever is the case?
The sustained helplessness you feel in the long emptiness of days is matched
by the new suspiciousness and wrath you wake to each morning. 
Isn’t this a relationship with your death, too, to fall in love with your inscrutable life?
Your teeth fill with cavities. There is always unearned happiness for some, 
and the criminal feeling of solitude. Always, everyone lies about his life. 
 
",Sandra Lim,"Living,The Mind,Time & Brevity",F
231,"
                    Notes: Coercive Counterintelligence Interrogation of Resistant Sources
                ","
HOW TO SUCCEED IN TORTURE 
WITHOUT REALLY TRYING
1. FIRST THINGS FIRST: 
Surprise,
            catch your source off balance            when he least expects it:  At the moment he opens his eyes in the morning
While he shits on the can. 
Detain and confine,
                      quickly,        quickly              ​cut him off from the known. 
Plunge your source into the strange, 
                      the invisible wells gone dry in his bones Drained by his eyes
         He’s in occupied territory—
            he could walk a long time and find nowhere, nothing, nada
                  no doors, no tunnels, windows  
2. KEEP IT SIMPLE: 
        
      Familiar clothing reinforces identity. 
       Replace the source",Anna Rabinowitz,"Living,The Mind,Social Commentaries,Crime & Punishment",F
236,"
                    The Demon
                ","
This is a demon that can take a grown brain and squash it to sponge. There is no loving the state
of a decrepit mind that encourages a decrepit body. Is he sleeping or just not there? States of
awareness flicker inside a gauzy lens. We’ve seen this before—in a film, the man disappearing
as he stands right there, his body stolid.
 
Let’s say this man worked as an Assistant Principal and admired his own IQ.
Let’s say this man had a brutish body but was not a brute. All of this becomes portraiture but
there can be fractures of truth.  Looking at him you think: Am I in this film or is this a vapory
memory?",Jennifer Firestone,"Living,Death,Health & Illness,The Mind,Relationships,Family & Ancestors,Religion,The Spiritual,Arts & Sciences,Language & Linguistics",F
361,"
                    A Better Way to Zone
                ","
Habits accrue
in circular pattern
and living occasion
swollen among what
the dead have to teach us
 
So, ear, be an instrument for thought
Tide, bring some
little green thing to dust
behind my eyes
 
Touch the hotpoint
and drag the tongue
over the fat belly
of a flapping fish
 
Sticker book
of farm animals
Sticker book of ole timey cats
What is life and how shall it be governed?
 
With blind devotion
and endurance in the impossible
for guts in everything for roots
in plain sight
 
Share a lung
Accumulate none
Say hello to the crow
 
There are certain chord progressions
one should avoid
",Alli Warren,"Living,Life Choices,The Mind",F
469,"
                    Interstitial 0.2
                ","
Empty air has its own mechanism, me dijo. 
Its gears accord to whim.
 
We go out only when we have to, me dijo. 
We have hidden things for breathing.
 
You can't understand it prepped that way, me dijo. 
It always changes, but never readily enough.
 
Some things we say more of and then again, me dijo. 
They always mean less once pre-written.
 
The context connections are far too frail, me dijo. 
To make them you need to pixel-point time.
 
There are no click-in-n-out pictures, me dijo. 
You facet your eyes to see them multiply.
 
There are hands held out everywhere, me dijo. 
We have to be careful what to step around/in.
 
Sometimes we come this close too late, me dijo. 
Then we have to wait for inertia to embrace us.
 
We are the hungry, hungry: so ravenous, me dijo. 
We will tear at your insides and lick them clean.
",elena minor,"Living,The Mind,Arts & Sciences,Language & Linguistics",F
491,"
                    The Lights Go Down at the Angelika
                ","
and you press into the dark, imagine
the stranger two rows back, that fragile
chance you’ll forget in the second trailer.
 
Now it’s quiet, still
this burden of being watcher and screen
and what floats across it–light pouring out
 
its time and necklines and train wrecks.
What a relief to yield to the EXIT
sign red “I” blinking like a candle.
 
Soon the enormous figures moving
across rooms, the emphatic narrative
arcs. (There’s the thrum of the subway,
 
its engine of extras.) Here now
the beginning of trivia tests. Warning puppets
with brown-bag faces and fringy hair.
 
You’re almost here. But what you want
is the after. How yourself you are now
walking into the night, full moon over Houston Street,
 
at the bright fruit stand touching the yellow
mums. Here you are: Woman with Cilantro
listening to the rattle of the wrap,
 
the paper sound paper makes after you
have heard movie paper. Apples are more apples.
Paper more paper. Cilantro, its sweaty green self.
",Donna Masini,"Living,The Mind,Arts & Sciences,Photography & Film",F
